cohort	method	repeat_index	seed	auc	n_success
GSE174188_CD4	kme_multiscale_scgpt	27	1814596188	0.9776780147150516	261
GSE174188_CD4	kme_multiscale_scgpt	28	1523991474	0.9753086419753084	261
GSE174188_CD4	kme_multiscale_scgpt	29	3730144923	0.9794238683127572	261
GSE174188_CD4	donor_expression_pca	0	3046023904	0.9798603317121836	261
GSE174188_CD4	donor_expression_pca	1	1851505900	0.9820426487093152	261
GSE174188_CD4	donor_expression_pca	2	38056049	0.9878413767302656	261
GSE174188_CD4	donor_expression_pca	3	2877599489	0.9875296171592468	261
GSE174188_CD4	donor_expression_pca	4	1156529957	0.9775533108866442	261
GSE174188_CD4	donor_expression_pca	5	3395270609	0.9821673525377228	261
GSE174188_CD4	donor_expression_pca	6	2175179604	0.9811073699962588	261
GSE174188_CD4	donor_expression_pca	7	1435553263	0.987217857588228	261
GSE174188_CD4	donor_expression_pca	8	3032114606	0.9875296171592468	261
GSE174188_CD4	donor_expression_pca	9	86568957	0.9801720912832024	261
GSE174188_CD4	donor_expression_pca	10	506879768	0.9852849482479112	261
GSE174188_CD4	donor_expression_pca	11	208852552	0.9834143908217984	261
GSE174188_CD4	donor_expression_pca	12	3728823830	0.9874672652450432	261
GSE174188_CD4	donor_expression_pca	13	3711191794	0.9867190422745978	261
GSE174188_CD4	donor_expression_pca	14	1186603825	0.9854096520763188	261
GSE174188_CD4	donor_expression_pca	15	526519220	0.9878413767302656	261
GSE174188_CD4	donor_expression_pca	16	2585064180	0.9892131188427484	261
GSE174188_CD4	donor_expression_pca	17	3319420069	0.9855343559047264	261
GSE174188_CD4	donor_expression_pca	18	585133877	0.9912083800972692	261
GSE174188_CD4	donor_expression_pca	19	3864051865	0.985035540591096	261
GSE174188_CD4	donor_expression_pca	20	2726654858	0.9900860456416012	261
GSE174188_CD4	donor_expression_pca	21	3024568490	0.9869060980172092	261
GSE174188_CD4	donor_expression_pca	22	1677336761	0.9850978925053	261
GSE174188_CD4	donor_expression_pca	23	3094259572	0.986656690360394	261
GSE174188_CD4	donor_expression_pca	24	1667539671	0.9890260631001372	261
GSE174188_CD4	donor_expression_pca	25	3199187709	0.9880907843870808	261
GSE174188_CD4	donor_expression_pca	26	2796730535	0.983975558049632	261
GSE174188_CD4	donor_expression_pca	27	1814596188	0.9862202269609676	261
GSE174188_CD4	donor_expression_pca	28	1523991474	0.986656690360394	261
GSE174188_CD4	donor_expression_pca	29	3730144923	0.9903354532984162	261
