block	repeat	seed	roc_auc	encoded_features_mean	encoded_features_min	encoded_features_max	selected_c_median	effective_df_mean
demographic	19	20260819	0.7506887052341598	9.0	9	9	1.0	3.7562461247641297
demographic	20	20260820	0.7658402203856749	9.0	9	9	0.0001	1.9223435595824754
all	1	20260801	0.953168044077135	25.0	25	25	1.0	8.305668129350623
all	2	20260802	0.9862258953168044	25.0	25	25	100.0	11.746754970773889
all	3	20260803	0.9449035812672176	25.0	25	25	1.0	8.061187568147256
all	4	20260804	0.9559228650137741	25.0	25	25	100.0	10.807054894987916
all	5	20260805	0.9696969696969697	25.0	25	25	10.0	9.56737442095686
all	6	20260806	0.9972451790633609	25.0	25	25	10.0	11.26081667357333
all	7	20260807	0.9669421487603305	25.0	25	25	10.0	10.49752885112035
all	8	20260808	0.9228650137741046	25.0	25	25	100.0	7.018819677982873
all	9	20260809	0.9752066115702479	25.0	25	25	100.0	11.494646212692276
all	10	20260810	0.9752066115702479	25.0	25	25	100.0	11.102748303510705
all	11	20260811	0.9201101928374655	25.0	25	25	1.0	8.870698752365707
all	12	20260812	0.9146005509641874	25.0	25	25	1.0	8.04222054353909
all	13	20260813	0.9421487603305785	25.0	25	25	100.0	9.827552574451431
all	14	20260814	0.9586776859504132	25.0	25	25	10.0	11.067585950264881
all	15	20260815	0.8732782369146006	24.8	24	25	1000.0	11.518061527254506
all	16	20260816	0.9586776859504132	25.0	25	25	1.0	8.78365450990428
all	17	20260817	0.9807162534435262	25.0	25	25	1000.0	11.124531814098384
all	18	20260818	0.9338842975206612	25.0	25	25	10.0	9.027400182046451
all	19	20260819	0.9559228650137741	25.0	25	25	10.0	8.954397046948841
all	20	20260820	0.9559228650137741	25.0	25	25	10.0	9.88704667983935
