feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
BDH1	0.32340008020401	2.5399755166408204	0.568682756833319
GREM2	0.3223819136619568	0.790131960792103	0.5677868454280872
SOCS1	0.32083407044410706	3.1422755220383976	0.5664221757717632
MYL9	0.3208073079586029	1.781656277134044	0.5663985395190619
RNF207	0.320100873708725	0.7549621560450258	0.5657745679754252
CDK5R1	0.31981363892555237	1.283118502390339	0.565520670900687
TMEM273	0.3190601170063019	1.642937525478816	0.564854068467117
PLSCR3	0.31883504986763	1.087886991343279	0.5646547941481498
TRAPPC5	0.3182544708251953	1.5076704845117883	0.5641404798598512
REG4	0.31819966435432434	1.07333904504776	0.5640918833956889
JAKMIP1	0.3172858953475952	1.6189196756059638	0.5632813636632548
GTSCR1	0.3165144920349121	1.5235679219280622	0.5625961966632965
SMN2	0.31645265221595764	1.265912341888837	0.5625412347434852
PDCD1	0.3164118826389313	1.0828237517583417	0.5625050051998125
ST6GALNAC1	0.31524255871772766	1.7333506226996351	0.5614646669111509
ICA1L	0.31486475467681885	2.3156311758633317	0.5611281040126591
DLGAP1	0.3145943284034729	0.46380822643123826	0.5608870884169718
TLR5	0.3141183853149414	1.2038589550389185	0.5604626480753778
ZFP57	0.31355687975883484	0.5061132210767132	0.5599615008263923
HES4	0.31346338987350464	1.5498401510076047	0.5598780109773739
IFIT2	0.31294918060302734	2.0245165379568077	0.5594186163944614
BEST1	0.3125778138637543	2.7746165072780915	0.5590865878862052
ATF3	0.31159570813179016	1.0926634749233495	0.5582075956769257
PTGER2	0.31151312589645386	3.772733713018483	0.558133612038478
MDGA1	0.311502605676651	0.8193471203361892	0.5581241910695335
JAKMIP2	0.3110113739967346	1.0261804867407371	0.5576839489401014
IKZF3	0.31077682971954346	2.0511228967443738	0.5574736151943243
MYO1F	0.3105519711971283	3.893042954448539	0.5572718995807564
CIITA	0.3104651868343353	1.1292527576059217	0.557194019562855
DACT1	0.31028324365615845	0.9254203984563835	0.5570307331197614
TRIM73	0.3089331388473511	2.202095380688079	0.5558175325465483
RPL39L	0.3086576461791992	1.8854588462018418	0.55556964762756
HSPA1B	0.3086005449295044	0.9310585934083581	0.5555182595482667
PLAAT2	0.3077886402606964	0.5658784258639675	0.5547870180527251
TNF	0.307407021522522	1.9114895175243247	0.5544429793332213
COCH	0.30701711773872375	0.9600022492851791	0.5540912460599874
CD22	0.3070021867752075	1.0440016581866018	0.5540777737571566
IRF9	0.3069441616535187	3.586992615027446	0.5540254066274493
NPIPB13	0.3057928681373596	0.7652503519222654	0.552985427223948
HLA-DQA2	0.30486735701560974	1.0063030322963706	0.5521479611454987
CD200R1	0.30474919080734253	1.7381635062767629	0.5520409355192947
CD83	0.3045710325241089	2.2183449809578644	0.5518795420714514
DCK	0.303006649017334	3.8592079256686214	0.550460389505153
RWDD3	0.30166205763816833	1.3515238898924027	0.5492377141957858
OTOF	0.30086272954940796	0.556414834327168	0.5485095426249026
MRPL53	0.3007450997829437	2.602511119568485	0.5484023111382773
OAS2	0.300063818693161	2.5580107329905717	0.5477808057014165
HACD1	0.29890456795692444	1.171766878430414	0.5467216645269828
GZMK	0.2981948256492615	3.5821946927870827	0.5460721871979586
BANK1	0.2973409593105316	1.3625551322867586	0.545289792312293
PTGER4	0.29733720421791077	3.8696039599933845	0.5452863627363714
FRMD4B	0.2971302568912506	2.3202984017887336	0.5450965514205071
FBLN5	0.2964456379413605	2.8305517389399797	0.5444682225847933
ELL2	0.29630038142204285	1.3148539285550171	0.5443348115791888
SPATC1L	0.29571056365966797	2.2481822114566277	0.5437927611049291
PARP9	0.29569703340530396	3.0473508793732216	0.5437803112788467
PTPN13	0.29534482955932617	0.7749294415401773	0.5434563770848428
C2orf74	0.2951212227344513	1.141511072372568	0.5432506154396269
KRT72	0.2949628233909607	0.8666549747474349	0.5431047922526352
SPA17	0.29400333762168884	1.2889772082653996	0.5422207466753158
NRGN	0.29341399669647217	2.9905493396452103	0.5416770116864297
MYH11	0.29331496357917786	1.702457570938315	0.5415856113303433
PTCH2	0.2932977080345154	1.8172556655160312	0.5415696733563903
OPRM1	0.2930837869644165	0.5937081719266957	0.5413721364089288
ZNF683	0.2927633225917816	1.0023191830435931	0.5410760769986819
IATPR	0.29259592294692993	1.3836774355607016	0.5409213677009932
IGSF9B	0.29258179664611816	1.0547277712730612	0.5409083171492082
ZNF737	0.29165107011795044	1.2164193645290944	0.5400472759232741
ZNF578	0.2915585935115814	0.6372558171379155	0.5399616598676255
SUSD4	0.2915211319923401	1.7319368503102854	0.5399269604955945
SGK1	0.29142481088638306	2.625657885239042	0.5398377693843609
ZNF584	0.2908623516559601	1.4985548208728148	0.5393165662297071
TRIM56	0.29082393646240234	2.575206522283883	0.5392809560841572
GNG10	0.2907760441303253	1.0955190304595392	0.5392365330795788
KANSL1-AS1	0.29077059030532837	3.1744436112400214	0.5392314910350134
FOXP3	0.2906286418437958	1.3853195070992028	0.5390998496861785
TREML1	0.29031720757484436	1.5082307327752826	0.5388109106735376
MDS2	0.29009145498275757	2.7961396214149006	0.5386013950539477
NPIPB11	0.2900714874267578	1.085321522421307	0.538582852920657
LINC02195	0.29006877541542053	0.646920695301445	0.5385803443451641
ATG2A	0.2897413969039917	3.305443066290055	0.538276324223861
SLC16A10	0.28964996337890625	1.6950017152161434	0.5381913745852254
ARHGEF37	0.2892492413520813	1.5906410438804335	0.5378189729480711
IKZF2	0.28888756036758423	1.6199525612980927	0.5374826091944277
PDE4D	0.28813424706459045	3.2017382378779153	0.5367813892161959
DUSP10	0.2870453894138336	2.14994448720267	0.535766160174961
PCLAF	0.286445289850235	1.094959053271575	0.5352058405620704
GNG8	0.2863079905509949	0.9154469481601569	0.5350775685486489
MAFF	0.2855093479156494	1.7970560757136436	0.53433075177844
NEU1	0.2853471338748932	2.341534025139279	0.534178921619002
PNMA5	0.2848883271217346	0.943011081652623	0.5337493221313586
TP53INP2	0.28478875756263733	0.8070914409055564	0.5336560322897892
RDH13	0.2844543159008026	1.4668016023791155	0.5333425934405304
SYT11	0.2841011881828308	1.6948646295573062	0.5330114340820814
GHRL	0.28405529260635376	1.2599863450531759	0.5329683735588844
APOBEC3H	0.28386378288269043	1.0939052252248787	0.5327886801533916
ST8SIA1	0.28378212451934814	1.3970533035038988	0.5327120507966204
ACOT2	0.28367605805397034	1.2363656222591912	0.5326124961994707
MIAT	0.28352153301239014	2.3410401088524595	0.5324674069490877
C18orf32	0.28338107466697693	2.8664777530107464	0.5323355041934604
CXCR3	0.28318431973457336	2.213315433469312	0.5321506509279177
UPK3BL1	0.28230050206184387	0.48422551648941076	0.5313195920008451
DSEL	0.28227224946022034	1.4596643518670764	0.5312930006253519
NCAPG2	0.28210216760635376	1.0901545010421467	0.5311329209635091
ANKDD1A	0.2816425561904907	0.8172103838559768	0.5307000605122918
NSG1	0.2814282476902008	2.659805631500551	0.530498113883345
LRRC75A	0.28120946884155273	2.660067575644716	0.5302918645311555
PRKAR2B	0.2810746729373932	1.3446408723734349	0.5301647698279552
EDA	0.28079256415367126	1.3789312943416536	0.5298986359175096
CRTAM	0.28050339221954346	1.4786592711662423	0.5296257050931459
ZNF460	0.28034889698028564	1.2743539040572798	0.529479846115393
PRDM1	0.2795226573944092	3.487254168795443	0.528699026967336
LAG3	0.27945128083229065	1.7741687909853412	0.5286315136510559
FANK1	0.279171347618103	0.9907035164506499	0.5283666696070787
HES1	0.2783176302909851	0.6345989597939897	0.5275581772430206
ID3	0.2783142924308777	2.69338191743098	0.5275550146372614
PPP1R15A	0.2781575918197632	4.7070871897584174	0.5274064819711309
CRIP2	0.27810874581336975	3.216407327816404	0.527360174267455
RTKN2	0.2777474820613861	3.4391487539956396	0.5270175376900037
FOS	0.27699312567710876	6.458865114555505	0.5263013502087662
CLEC11A	0.2767486274242401	2.626835483700836	0.5260690272767591
CALHM6	0.27645716071128845	2.721891292210283	0.5257919447322411
CDKN2A	0.2756548821926117	1.23211203412763	0.5250284673780901
CCL20	0.2755589485168457	0.6038247635766464	0.5249370993373369
WNT10A	0.2750951945781708	1.3095968330271857	0.5244951917261294
RNF175	0.2749851644039154	0.7309570779517236	0.5243902746589566
RTP4	0.2749847173690796	1.6573364792884082	0.5243898400763085
BEND7	0.27487894892692566	0.8484078737054291	0.5242889973263778
WASHC2C	0.27482467889785767	2.092078209608451	0.5242372285083787
ZFY	0.2747928500175476	0.16018196960404457	0.5242068766564634
MIR4435-2HG	0.2747635245323181	2.5516434898778395	0.5241789048919164
LINC01644	0.2744266986846924	0.6176267779535718	0.5238575121124893
FAM153A	0.274063378572464	1.5662104338978442	0.5235106272444282
AGAP9	0.2736574411392212	0.7868674090881457	0.523122778890951
FOSB	0.27308550477027893	4.679021018675004	0.5225758462561417
MCOLN2	0.2730483412742615	1.3005741642809463	0.5225402686740439
CCDC50	0.2722904682159424	1.999326924254611	0.5218145976655353
