repeat	method	acquisition_structure	cell_yield	combined	demographic	processing_cohort	qc_core	unadjusted	delta_cell_yield_minus_unadjusted	delta_qc_core_minus_unadjusted	delta_acquisition_structure_minus_unadjusted	delta_processing_cohort_minus_unadjusted	delta_demographic_minus_unadjusted	delta_combined_minus_unadjusted
10	Frozen Geneformer	0.9346551939144532	0.9193166230203267	0.6717795236313755	0.9597206634243671	0.7406783888265369	0.8900735752587604	0.9737498441202145	-0.054433221099887796	-0.08367626886145407	-0.039094650205761305	-0.23307145529367757	-0.014029180695847354	-0.301970320488839
10	Mean-HVG pseudobulk	0.9663299663299663	0.9672028931288191	0.6057488464895874	0.9786132934281083	0.6969696969696969	0.9410150891632373	0.9890260631001371	-0.021823169971317946	-0.04801097393689979	-0.022696096770170815	-0.29205636613044017	-0.010412769672028754	-0.3832772166105497
10	PCA pseudobulk	0.9494949494949495	0.957101883027809	0.679885272477865	0.9691358024691358	0.7309514902107495	0.9135802469135802	0.9773039032298292	-0.02020202020202022	-0.06372365631624899	-0.027808953734879682	-0.24635241301907973	-0.008168100760693409	-0.2974186307519642
11	Frozen Geneformer	0.9354034168848984	0.920314253647587	0.6639855343559047	0.9637111859334082	0.7443571517645592	0.8842748472378102	0.9753709938895125	-0.05505674024192553	-0.09109614665170229	-0.039967577004614174	-0.23101384212495335	-0.011659807956104329	-0.31138545953360786
11	Mean-HVG pseudobulk	0.9663299663299663	0.9667664297293926	0.6192792118718046	0.9829155755081681	0.7080059857837635	0.9380845491956603	0.9887143035291184	-0.021947873799725737	-0.050629754333458066	-0.022384337199152116	-0.2807083177453549	-0.005798728020950272	-0.3694350916573138
11	PCA pseudobulk	0.949619653323357	0.9534854720039905	0.6744606559421373	0.9774286070582366	0.7441077441077442	0.913393191170969	0.9819179448809079	-0.028432472876917414	-0.06852475370993893	-0.03229829155755093	-0.23781020077316373	-0.004489337822671247	-0.30745728893877056
12	Frozen Geneformer	0.9366504551689737	0.9196283825913455	0.6729018580870433	0.9629006110487591	0.7440453921935403	0.8839007357525877	0.9743110113480483	-0.05468262875670282	-0.09041027559546067	-0.0376605561790746	-0.23026561915450805	-0.011410400299289192	-0.30140915326100504
12	Mean-HVG pseudobulk	0.9698216735253773	0.968013468013468	0.6411647337573264	0.9786132934281083	0.6923556553186182	0.9422621274473125	0.9880907843870808	-0.020077316373612764	-0.04582865693976823	-0.018269110861703464	-0.29573512906846255	-0.009477490958972434	-0.34692605062975435
12	PCA pseudobulk	0.9519266741488964	0.9576630502556428	0.6975932161117346	0.9741863075196409	0.7519640852974185	0.9071579997505923	0.9803591470258137	-0.022696096770170926	-0.07320114727522142	-0.028432472876917303	-0.2283950617283952	-0.006172839506172867	-0.2827659309140791
13	Frozen Geneformer	0.9352787130564908	0.9207507170470134	0.6731512657438584	0.963212370619778	0.7496570644718793	0.8922558922558923	0.9753086419753085	-0.05455792492829514	-0.08305274971941623	-0.040029928918817737	-0.22565157750342923	-0.012096271355530486	-0.3021573762314501
13	Mean-HVG pseudobulk	0.9632747225339818	0.9671405412146152	0.6404165107868811	0.9766180321735878	0.729205636613044	0.9350293053996758	0.9863449307893752	-0.019204389574760006	-0.05131562538969947	-0.02307020825539341	-0.2571392941763312	-0.00972689861578746	-0.34592842000249413
13	PCA pseudobulk	0.9484349669534855	0.9521760818057114	0.6815687741613667	0.9714428232946751	0.7507170470133433	0.9131437835141539	0.9766180321735878	-0.02444195036787633	-0.06347424865943385	-0.028183065220102277	-0.22590098516024448	-0.005175208878912652	-0.29504925801222104
14	Frozen Geneformer	0.9343434343434344	0.9248659433844619	0.6863698715550568	0.9628382591345555	0.75264995635366	0.8862701084923308	0.9764309764309764	-0.0515650330465145	-0.09016086793864564	-0.04208754208754206	-0.22378102007731637	-0.013592717296420975	-0.29006110487591963
14	Mean-HVG pseudobulk	0.9664546701583739	0.9668287816435964	0.6057488464895872	0.977865070457663	0.7030801845616661	0.9318493577752838	0.9883401920438958	-0.021511410400299358	-0.05649083426861201	-0.02188552188552184	-0.2852600074822297	-0.01047512158623276	-0.3825913455543086
14	PCA pseudobulk	0.9479985035540591	0.9533607681755829	0.6738371368000998	0.9725028058361391	0.7348796608055868	0.9069085920937774	0.9816685372240928	-0.028307769048509845	-0.07475994513031536	-0.03367003367003363	-0.246788876418506	-0.009165731387953624	-0.30783140042399293
15	Frozen Geneformer	0.9331587479735628	0.9224965706447188	0.6806334954483103	0.9651452799600947	0.7471629879037286	0.8898241676019453	0.9744357151764559	-0.05193914453173709	-0.08461154757451061	-0.04127696720289309	-0.2272727272727273	-0.009290435216361193	-0.2938022197281456
15	Mean-HVG pseudobulk	0.9604065344806085	0.9721286943509166	0.6093652575134056	0.9794238683127572	0.7119965082928046	0.9372739743110113	0.9867190422745978	-0.01459034792368119	-0.0494450679635865	-0.026312507793989304	-0.27472253398179325	-0.007295173961840651	-0.3773537847611922
15	PCA pseudobulk	0.944319740616037	0.9536101758323982	0.6791370495074198	0.967202893128819	0.7363761067464771	0.9078438708068337	0.9713181194662676	-0.017707943633869405	-0.06347424865943385	-0.026998378850230598	-0.23494201271979043	-0.004115226337448541	-0.29218106995884774
16	Frozen Geneformer	0.9307893752338197	0.9201271979049755	0.6586856216485846	0.9596583115101633	0.7404913330839257	0.8882653697468511	0.9725028058361391	-0.05237560793116358	-0.08423743608928802	-0.04171343060231947	-0.23201147275221345	-0.012844494325975786	-0.31381718418755455
16	Mean-HVG pseudobulk	0.9569148272851977	0.9650205761316872	0.6128569647088165	0.9778027185434592	0.707070707070707	0.9433844619029803	0.9863449307893751	-0.021324354657687894	-0.04296046888639482	-0.029430103504177407	-0.27927422371866817	-0.008542212245915892	-0.3734879660805587
16	PCA pseudobulk	0.9425738870183314	0.9507419877790249	0.6689113355780022	0.9704451926674149	0.7274597830153386	0.9027933657563287	0.9781768300286819	-0.027434842249657088	-0.0753834642723532	-0.035602943010350496	-0.2507170470133433	-0.00773163736126703	-0.30926549445067975
17	Frozen Geneformer	0.9271106122957975	0.9170096021947873	0.6666043147524627	0.9625264995635365	0.7413642598827784	0.8842748472378102	0.974934530490086	-0.05792492829529872	-0.0906596832522758	-0.04782391819428855	-0.23357027060730762	-0.012408030926549518	-0.3083302157376233
17	Mean-HVG pseudobulk	0.9627759072203517	0.9650205761316873	0.6144157625639106	0.9731886768923805	0.6950991395435839	0.936026936026936	0.9841002618780397	-0.019079685746352326	-0.04807332585110369	-0.021324354657688005	-0.28900112233445574	-0.01091158498565914	-0.36968449931412906
17	PCA pseudobulk	0.9355904726275097	0.9514278588352663	0.6892380596084301	0.9670781893004115	0.7430477615662802	0.9111485222596334	0.9653323357027062	-0.013904476867439897	-0.05418381344307277	-0.02974186307519644	-0.222284574136426	0.0017458535977052936	-0.27609427609427606
18	Frozen Geneformer	0.933096396059359	0.9223718668163113	0.6791370495074199	0.9622770919067215	0.7486594338446192	0.8914453173712432	0.9729392692355654	-0.05056740241925406	-0.08149395186432218	-0.039842873176206384	-0.2242798353909462	-0.010662177328843891	-0.29380221972814546
18	Mean-HVG pseudobulk	0.9681381718418755	0.9711310637236563	0.6124205013093902	0.9819179448809078	0.6834393315874797	0.9434468138171842	0.9881531363012844	-0.01702207257762811	-0.044706322484100225	-0.02001496445940898	-0.3047138047138047	-0.006235191420376651	-0.37573263499189424
18	PCA pseudobulk	0.9462526499563536	0.9524254894625266	0.6705324853473003	0.9720663424367129	0.7382466641725902	0.9051003865818681	0.9771791994014216	-0.02475370993889503	-0.07207881281955353	-0.030926549445068008	-0.2389325352288314	-0.005112856964708756	-0.30664671405412136
19	Frozen Geneformer	0.9326599326599326	0.9250529991270733	0.6815687741613667	0.9631500187055743	0.7569522384337198	0.8929417633121336	0.974934530490086	-0.049881531363012765	-0.08199276717795245	-0.042274597830153415	-0.2179822920563662	-0.011784511784511786	-0.2933657563287193
19	Mean-HVG pseudobulk	0.9515525626636738	0.9703204888390073	0.6435964584112732	0.9783638857712932	0.7200399052250904	0.944007981045018	0.989836637984786	-0.019516149145778705	-0.04582865693976801	-0.03828407532111222	-0.2697967327596956	-0.011472752213492865	-0.34624017957351283
19	PCA pseudobulk	0.9420127197904976	0.9547325102880658	0.6929791744606559	0.9763686245167726	0.7343184935777528	0.9188178077066965	0.9791121087417384	-0.024379598453672546	-0.06029430103504185	-0.037099388951240764	-0.24479361516398557	-0.002743484224965731	-0.28613293428108244
20	Frozen Geneformer	0.9301035041775783	0.9164484349669535	0.6821922933034044	0.9597206634243671	0.7445442075071705	0.8880783140042399	0.9731886768923805	-0.05674024192542704	-0.08511036288814067	-0.04308517271480228	-0.22864446938521	-0.013468013468013407	-0.29099638358897617
20	Mean-HVG pseudobulk	0.962962962962963	0.968013468013468	0.6471505175208878	0.9814814814814815	0.7157999750592343	0.9418256640478864	0.9900860456416012	-0.022072577628133194	-0.04826038159371482	-0.027123082678638166	-0.27428607058236687	-0.008604564160119677	-0.3429355281207134
20	PCA pseudobulk	0.9428232946751466	0.9481232073824667	0.6903603940640977	0.9736874922060107	0.7373737373737375	0.9013592717296421	0.9792991644843497	-0.031175957101883034	-0.07793989275470758	-0.03647586980920314	-0.24192542711061227	-0.0056116722783390305	-0.28893877042025207
