gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
C20orf204	1.609544	0.73882306	0.870721	3.0833552	0.006160492	0.8939151	0.870721
HERC6	3.143637	2.280357	0.86328006	4.5956526	0.00020399578	0.49712685	0.86328006
PRDM1	3.8984017	3.0383873	0.86001444	4.0409493	0.0006437221	0.4554171	0.86001444
BCL2L14	1.1553868	0.29716867	0.85821813	7.009192	1.1624167e-06	0.31413147	0.85821813
IFIT2	2.7142591	1.8589188	0.85534036	5.7211976	1.4535166e-05	0.37520474	0.85534036
GBP1	4.259633	3.4092412	0.85039186	4.355318	0.00027366084	0.498804	0.85039186
NIBAN1	3.2412646	2.394284	0.8469806	1.5652654	0.13364668	1.9172523	0.8469806
CKS2	2.4182274	1.5714352	0.8467922	5.4532275	2.700808e-05	0.38769	0.8467922
MTRNR2L1	0.40501225	1.2478398	-0.84282756	-1.8416866	0.09783636	0.94435495	0.84282756
TGM1	1.1765382	0.33743408	0.8391042	5.7833195	3.3783144e-05	0.37434477	0.8391042
LAMP3	1.5021794	0.6633135	0.8388659	4.528957	0.00024282384	0.4794626	0.8388659
S100A9	2.7129493	1.8742644	0.8386849	1.6894087	0.10602485	1.7074336	0.8386849
LY6E	5.7477784	4.917289	0.83048964	6.3498106	8.273375e-06	0.32890227	0.83048964
CD70	1.4040618	0.57359695	0.83046484	3.9125795	0.00110545	0.5836788	0.83046484
PALM2-AKAP2	2.7913003	1.972221	0.8190793	1.814875	0.08383503	1.4398022	0.8190793
SAMD9L	4.154751	3.3372834	0.81746745	4.476815	0.00024509776	0.45632926	0.81746745
LAG3	2.1218991	1.3062251	0.81567407	3.8924665	0.00093481137	0.54714596	0.81567407
NCF4	2.8646007	2.0561786	0.8084221	4.4296284	0.00028680314	0.35621914	0.8084221
RRM2	1.3181708	0.51538485	0.80278593	2.912121	0.009379565	0.8475806	0.80278593
BCL3	2.4240513	1.6235046	0.80054665	4.8553834	6.348176e-05	0.34565395	0.80054665
SCO2	2.5336165	1.733557	0.80005956	2.0435553	0.05370653	1.1178173	0.80005956
ICA1	2.5798182	1.7896702	0.790148	4.760681	7.878017e-05	0.36541417	0.790148
IFIH1	3.1391387	2.3512716	0.78786707	5.959317	1.0117944e-05	0.30780542	0.78786707
CCDC50	2.9811466	2.1945615	0.7865851	5.6100683	1.75755e-05	0.32278106	0.7865851
OAS2	3.5847688	2.803971	0.7807977	4.282358	0.00032805873	0.43027946	0.7807977
FAR2	1.8532346	1.0735983	0.7796364	6.6517334	1.2895994e-06	0.26479974	0.7796364
IRF7	3.8073277	3.0288994	0.7784283	3.9428263	0.0006490787	0.45948237	0.7784283
FHIT	3.8735003	4.6500072	-0.7765069	-3.6233742	0.0015934593	0.53646314	0.7765069
FABP5	2.8644037	2.0982847	0.766119	4.7954073	9.0586225e-05	0.35676318	0.766119
S100A11	5.667952	4.9026423	0.7653098	3.3864431	0.0026204227	0.47853363	0.7653098
CDKN2A	1.7431089	0.9806322	0.7624767	4.1406374	0.00037093335	0.39771402	0.7624767
MKI67	1.8183482	1.056655	0.7616931	2.501545	0.022279527	0.98097515	0.7616931
JAKMIP1	1.9235315	1.1702869	0.75324464	5.22347	2.656763e-05	0.2804348	0.75324464
FAS	3.1831155	2.4337459	0.7493696	6.049749	3.2927442e-06	0.2575131	0.7493696
FOXP3	2.558064	1.8099617	0.7481023	4.199209	0.00045140367	0.41371873	0.7481023
STAT1	4.99749	4.249467	0.74802303	3.9479928	0.0007000279	0.43567228	0.74802303
ANXA2	4.7384787	3.9939327	0.74454594	3.5335927	0.0018493758	0.42591202	0.74454594
APOBEC3H	1.429394	0.6853671	0.7440269	3.3395786	0.0031626315	0.55924654	0.7440269
TYMS	1.4813858	0.7402889	0.7410969	2.7065382	0.0149407	0.8252877	0.7410969
USP46	3.1137354	2.3746648	0.73907065	4.2736263	0.0002706664	0.36496332	0.73907065
TK1	1.1811631	0.44250184	0.7386612	3.2021275	0.0049093165	0.6135248	0.7386612
TNF	2.6831293	1.949784	0.73334527	3.320358	0.004529609	0.38479346	0.73334527
TIGIT	3.6669	2.9392354	0.7276645	3.9005983	0.00086195144	0.42870742	0.7276645
SERPINB9P1	1.7617285	1.0398599	0.72186863	4.8410716	6.542375e-05	0.28247693	0.72186863
KLF10	2.7808175	2.063394	0.71742344	3.949489	0.0006393607	0.38962314	0.71742344
OTOF	0.8609764	0.14915392	0.7118225	4.4378023	0.000450974	0.36965972	0.7118225
HIST1H1B	1.845144	1.1347406	0.71040344	2.1937041	0.038355235	0.93484056	0.71040344
FUT7	2.6421	1.9370283	0.7050718	2.423437	0.024171079	0.6648116	0.7050718
PTGER2	4.040614	3.3358738	0.7047403	3.2052472	0.00435071	0.41922405	0.7047403
MMP28	1.4106236	2.1138992	-0.7032757	-3.8901193	0.0011125576	0.41923785	0.7032757
KLF6	5.8835754	5.1814356	0.70213985	4.8784094	6.914097e-05	0.2564559	0.70213985
IFI30	1.9016726	1.2014694	0.7002032	2.554173	0.017458532	0.69033885	0.7002032
SMCO4	1.7358463	1.0376475	0.6981988	3.9947972	0.0005388674	0.35146743	0.6981988
SOGA3	1.716361	1.0187247	0.69763637	2.800012	0.010329143	0.5276878	0.69763637
AIM2	1.5904249	0.89694273	0.69348216	3.6039648	0.0016805822	0.4321726	0.69348216
CDKN2B	0.89524555	0.20297575	0.6922698	4.7564654	0.00015213713	0.30818585	0.6922698
MCOLN2	2.0017796	1.3125328	0.6892468	4.326922	0.00025708645	0.32156494	0.6892468
RTP4	2.2868989	1.5993216	0.68757725	3.7034073	0.0016559428	0.42900038	0.68757725
CTSL	1.5948032	2.278878	-0.68407476	-4.1329455	0.00039906014	0.3315667	0.68407476
IFI35	3.6280034	2.945499	0.6825044	4.803505	0.00011852087	0.29197317	0.6825044
NEXN	1.6017218	0.9249152	0.67680657	5.76212	1.3181695e-05	0.23308484	0.67680657
HELZ2	3.0748484	2.4001634	0.674685	3.5244064	0.0021522478	0.43018016	0.674685
SYT11	2.3463042	1.6719211	0.67438304	3.9297276	0.0006451596	0.31713876	0.67438304
MIR4435-2HG	2.4961705	1.8218386	0.6743319	3.844992	0.0009051138	0.36802736	0.6743319
FRMD4B	2.6523387	1.9785271	0.6738117	3.2269666	0.0038544012	0.3956157	0.6738117
PLXDC1	1.8007512	2.4737358	-0.6729846	-4.3914723	0.0002033915	0.2741514	0.6729846
RGS16	1.4020536	0.7325951	0.6694585	4.7798724	7.462336e-05	0.24852617	0.6694585
HLA-DPA1	4.0441227	3.3751407	0.668982	3.146728	0.0046319584	0.40610152	0.668982
PIM1	5.0218306	4.3544016	0.667429	4.878422	6.0058956e-05	0.2555989	0.667429
CLSPN	1.3615707	0.6946978	0.6668729	3.158534	0.0060740146	0.52841675	0.6668729
EDA	1.7423532	1.0755237	0.66682947	3.190519	0.0042886646	0.3884481	0.66682947
PMAIP1	3.4506516	2.7847292	0.6659224	2.703996	0.012891148	0.5052006	0.6659224
AC116407.2	2.9217005	2.2596083	0.6620922	4.9900103	4.8672475e-05	0.22582646	0.6620922
CELA1	1.5066384	2.1658394	-0.659201	-4.639684	0.00010506338	0.25963438	0.659201
VMP1	4.513379	3.855044	0.6583352	6.600351	8.102912e-07	0.18166158	0.6583352
ABO	0.91368896	0.2566524	0.65703654	2.4711595	0.025272964	0.7742143	0.65703654
MDS2	2.3374813	2.9943085	-0.6568272	-5.492239	2.4983226e-05	0.23158637	0.6568272
DTX3L	3.7035203	3.0480237	0.6554966	5.6151094	1.0139526e-05	0.21379171	0.6554966
NR4A1	1.7177138	1.0642889	0.653425	1.9229137	0.06681328	0.8943917	0.653425
RNF207	1.557163	0.90387917	0.65328383	3.3316865	0.0028014572	0.3958811	0.65328383
RPS26	7.6025553	6.9522643	0.65029097	1.4074531	0.17963152	1.1942822	0.65029097
PTMS	2.24552	1.5969843	0.64853585	3.9807825	0.0009813643	0.34882563	0.64853585
MTHFD2	2.8369036	2.1901324	0.6467712	5.763371	6.4772153e-06	0.19097178	0.6467712
S100A4	7.194684	6.5481596	0.6465244	3.896165	0.000905737	0.2688198	0.6465244
KIAA0408	1.4411519	0.79482335	0.6463285	3.4859931	0.0019622415	0.33897138	0.6463285
SLC16A10	2.2911992	2.9333014	-0.64210224	-4.4169335	0.00030563326	0.22422206	0.64210224
MAF	4.464631	3.8227696	0.64186144	3.6347182	0.0014646408	0.30321816	0.64186144
ZBP1	3.0555243	2.4142222	0.6413021	4.607792	0.00013240297	0.25907066	0.6413021
FBXO6	2.1803954	1.5401679	0.64022744	5.6738	3.1516556e-05	0.21967603	0.64022744
TRIM22	4.74115	4.1016817	0.6394682	5.682952	1.114564e-05	0.20622678	0.6394682
ANXA5	4.491304	3.854325	0.63697886	4.129805	0.00039541954	0.26376662	0.63697886
PHLDA3	0.7930175	0.15712829	0.63588923	3.857365	0.001244568	0.34911335	0.63588923
CEACAM1	1.5679775	0.93603563	0.6319419	4.411775	0.00020823372	0.26372138	0.6319419
MCOLN3	1.2830756	0.65242606	0.6306495	3.8611834	0.00078679255	0.2790479	0.6306495
BIRC5	1.0979998	0.46857715	0.62942266	2.824194	0.011624099	0.5538244	0.62942266
CTSW	3.26337	2.634741	0.62862897	1.6422865	0.11685883	0.9597303	0.62862897
TNFSF10	4.6234627	3.9960046	0.6274581	3.7359977	0.0010238385	0.3045339	0.6274581
BIRC3	5.0023966	4.3759427	0.6264539	5.2935147	3.125504e-05	0.21565054	0.6264539
LAP3	3.7251735	3.1008775	0.62429595	5.539671	3.5997105e-05	0.21295172	0.62429595
LINC-PINT	4.438636	3.8148563	0.62377954	0.8070635	0.43066746	3.3921924	0.62377954
ALOX5	1.3852144	0.7635141	0.62170035	4.0147257	0.0005432547	0.2566841	0.62170035
ZNF595	0.8038034	1.4225086	-0.6187052	-4.2090445	0.00040723276	0.22767997	0.6187052
CDO1	0.775563	0.15852234	0.61704063	2.6974723	0.015642567	0.58240193	0.61704063
B4GALT5	2.1278343	1.515957	0.6118773	4.671478	0.0001014504	0.22623685	0.6118773
UTS2	1.861031	1.249428	0.611603	1.5663655	0.13172711	1.0686619	0.611603
FBXL8	2.9888499	2.3773131	0.61153674	4.495438	0.00015593761	0.2205782	0.61153674
TLR5	1.7434089	1.1323731	0.6110358	3.8803537	0.0008069621	0.2958601	0.6110358
PHLDA1	1.9633856	1.3545296	0.60885596	2.927633	0.008730555	0.34246212	0.60885596
IKZF4	2.021305	1.4128563	0.60844874	4.6260624	0.00017001145	0.24190535	0.60844874
TNFSF13B	2.8079765	2.2007084	0.6072681	3.44134	0.002149212	0.32830667	0.6072681
HES4	1.8462188	1.2409176	0.60530126	2.2264152	0.035739023	0.61106324	0.60530126
NEFL	2.1627698	1.5582137	0.6045561	1.9486684	0.066254795	0.6540497	0.6045561
LAIR2	2.3595285	1.7550367	0.60449183	1.6561756	0.11901657	0.7585639	0.60449183
AL096865.1	1.4864043	0.8824247	0.6039796	3.801221	0.0008753784	0.28064033	0.6039796
C5orf56	3.4076421	2.8041675	0.6034746	1.0441002	0.31028327	1.982835	0.6034746
NUSAP1	1.5996062	0.9973696	0.60223657	2.6386487	0.015671473	0.53786755	0.60223657
PCSK1N	2.5481284	1.9461124	0.602016	2.6357293	0.017721033	0.36947355	0.602016
PLAAT4	4.767727	4.166092	0.601635	0.7169777	0.48316813	3.941496	0.601635
CYTOR	3.7491908	3.1486402	0.60055065	2.9420557	0.007954498	0.34393197	0.60055065
PARP12	3.2314405	2.6314678	0.5999727	4.998379	7.2893e-05	0.21429719	0.5999727
ZEB2	2.5230434	1.9259895	0.5970539	2.237128	0.03524295	0.56903243	0.5970539
LINC00309	0.78247356	0.18595135	0.5965222	4.07403	0.0005555666	0.26981714	0.5965222
CIAO2B	3.9688396	3.3727162	0.59612346	0.8693804	0.39651352	2.6968384	0.59612346
CTSH	3.012907	2.41711	0.59579706	2.7355177	0.013796003	0.3526492	0.59579706
TBK1	2.7785974	2.1840274	0.5945699	4.3160977	0.00023945188	0.22193825	0.5945699
UPK3BL1	3.330065	2.7358267	0.5942383	1.1979959	0.24926318	1.3516552	0.5942383
IL32	7.0024137	6.408642	0.59377193	2.062303	0.057776902	0.49851853	0.59377193
CPA5	2.2728877	1.6801399	0.5927478	1.3671849	0.19203068	1.0360097	0.5927478
CAPG	3.361713	2.769	0.5927129	3.6532578	0.0017668172	0.23769413	0.5927129
C3orf14	1.5590699	0.9665531	0.5925168	4.0034237	0.00052626815	0.24297443	0.5925168
GPR171	3.9245298	3.3326755	0.59185433	4.4426603	0.00019612414	0.23018658	0.59185433
GZMH	2.4310942	1.8401899	0.59090424	1.4460586	0.16130996	1.2503445	0.59090424
GZMB	1.3942028	0.8041245	0.59007835	1.7241695	0.097625256	0.9183137	0.59007835
GBP5	4.208762	3.620357	0.58840513	3.0673208	0.006270525	0.40876383	0.58840513
SEMA3G	0.84951854	0.26178214	0.58773637	4.5938115	0.00023771505	0.2340115	0.58773637
CDT1	1.047451	0.45983258	0.58761847	3.1193783	0.0064239018	0.4154528	0.58761847
SNHG6	5.452192	4.865139	0.5870528	0.6047342	0.553535	5.1827445	0.5870528
HLA-DQB1	2.902499	2.3155127	0.5869863	2.0266347	0.05777953	0.56067264	0.5869863
ZNF667-AS1	1.2790985	1.8639446	-0.58484614	-3.0508454	0.0055306694	0.34454015	0.58484614
DUSP5	2.9185138	2.3337204	0.5847933	2.6775727	0.013993754	0.3852459	0.5847933
LINC00963	2.2764952	1.6922605	0.5842347	1.5332141	0.14116077	0.95299876	0.5842347
IL2RA	2.9909852	2.407383	0.5836022	3.8470023	0.0008130019	0.26555422	0.5836022
C4orf48	4.3033447	3.720139	0.5832057	7.909035	5.6643344e-08	0.12741876	0.5832057
FGL2	2.364214	1.7813069	0.5829071	1.8483734	0.078137755	0.723659	0.5829071
STX11	2.1268744	1.5441992	0.5826752	3.6992967	0.0013122316	0.23983812	0.5826752
CXCR3	2.5331392	1.9525518	0.5805874	2.3958426	0.024736088	0.51190406	0.5805874
SULF2	2.549252	3.128972	-0.57972	-2.503176	0.01957549	0.4906134	0.57972
BCL2L15	1.208757	0.6293669	0.57939017	5.085174	5.2410258e-05	0.19356568	0.57939017
EPPK1	1.1148022	1.6926867	-0.57788444	-4.6404123	0.00010994445	0.18882838	0.57788444
AC020916.1	2.8174577	2.241596	0.5758617	1.5844908	0.1296602	0.8534911	0.5758617
CTNNA1	1.6710542	1.0952917	0.5757625	4.138396	0.00037120323	0.22372645	0.5757625
DDX60L	3.7020955	3.126511	0.5755844	4.7879777	9.404388e-05	0.20228603	0.5755844
PRF1	2.7176628	2.1429539	0.57470894	2.61198	0.015953409	0.48072225	0.57470894
AL031280.1	2.0145068	2.5873852	-0.57287836	-3.8206286	0.0009851545	0.22217247	0.57287836
MUC1	1.0743484	0.50171566	0.5726328	4.8925896	5.5256256e-05	0.18415485	0.5726328
FXYD1	2.8469691	2.2766962	0.5702729	4.5162416	0.00015446174	0.18793884	0.5702729
SERPINE2	1.7499042	2.3200963	-0.5701921	-3.0623772	0.0053778635	0.32604384	0.5701921
ADAM19	3.0094585	2.4394536	0.57000494	3.8878846	0.0007314674	0.22674008	0.57000494
METTL7A	1.2538813	0.6840769	0.56980443	3.4862094	0.002127769	0.30174768	0.56980443
RASGRP3	1.5193505	0.95070744	0.5686431	5.0928297	3.6715886e-05	0.16398275	0.5686431
CHN1	1.7582278	1.1901191	0.5681087	3.1026416	0.004856673	0.3255894	0.5681087
MAP1A	1.2524705	0.6843956	0.5680749	4.9184628	5.1329815e-05	0.17592913	0.5680749
NFE2L3	1.8815069	1.3137934	0.5677135	3.9694846	0.00066304905	0.24895228	0.5677135
AL499604.1	4.001612	3.4345405	0.5670717	0.80396193	0.43231803	2.8379931	0.5670717
HSH2D	2.9603622	2.3938813	0.5664809	3.8042636	0.0011183243	0.27113643	0.5664809
HIST1H1E	4.0764937	3.5111008	0.565393	1.635535	0.11926277	0.757559	0.565393
CGAS	2.5512195	1.9871786	0.5640409	3.377478	0.0027921144	0.25496665	0.5640409
TAP1	4.342122	3.780271	0.561851	4.2875986	0.00034572935	0.22489502	0.561851
LTA	2.914888	2.354254	0.5606339	5.568475	1.7462375e-05	0.13958831	0.5606339
PTTG1	2.7418766	2.1812716	0.56060505	3.1282866	0.0050309165	0.34695762	0.56060505
CASP1	3.8606935	3.300222	0.56047153	3.9055262	0.0006771224	0.23427983	0.56047153
GPRIN3	4.0778055	3.5178769	0.55992866	5.1989665	3.039183e-05	0.17108102	0.55992866
CCNB2	0.8853062	0.32613087	0.5591753	2.7937872	0.012759066	0.45029807	0.5591753
JAK2	2.4324832	1.8734055	0.55907774	4.115535	0.00043547235	0.2260356	0.55907774
LIME1	5.108058	4.550156	0.55790186	0.66461223	0.51538193	3.9000044	0.55790186
MIR22HG	1.9665704	1.4089403	0.55763006	3.5519412	0.0019019479	0.22988527	0.55763006
BATF	3.3415585	2.78408	0.5574784	4.7992854	6.970113e-05	0.1778458	0.5574784
CAPN2	4.3415403	3.7853935	0.55614686	4.379888	0.00023335069	0.18148023	0.55614686
DDX58	3.4778125	2.9228334	0.5549791	3.886451	0.00081742235	0.24546853	0.5549791
CASC15	0.8895471	1.4426043	-0.5530572	-2.3464613	0.028377341	0.43468747	0.5530572
CD8B	1.1723437	1.724872	-0.55252826	-2.3519616	0.030265633	0.38813305	0.55252826
TRIM69	3.2072387	2.655677	0.5515616	4.0215344	0.00050712284	0.21873927	0.5515616
CYFIP1	1.5531194	1.0019993	0.55112016	4.0765247	0.00053179776	0.18987475	0.55112016
MT1F	3.1027002	2.55196	0.55074024	4.285066	0.00025703193	0.19363894	0.55074024
PMCH	0.6801368	0.13040608	0.5497307	4.4391704	0.00035489115	0.2153948	0.5497307
LINC00892	2.5983832	2.0492997	0.5490835	1.1996164	0.24585606	1.262036	0.5490835
PSME2	5.506113	4.9577956	0.54831743	5.826386	1.2191737e-05	0.15177603	0.54831743
NLRP2	1.1894597	0.6411654	0.5482943	2.8896608	0.008053741	0.33946174	0.5482943
TLE5	5.7076263	5.159765	0.5478616	0.5344265	0.6002093	5.7235947	0.5478616
LGALS3BP	3.6339037	3.086601	0.5473027	3.5704706	0.0015842952	0.25641513	0.5473027
MB21D2	1.8808341	1.3345497	0.54628444	3.6597512	0.0012406051	0.23950301	0.54628444
MYO1F	4.0061913	3.46046	0.5457313	2.5905402	0.016312359	0.3744098	0.5457313
IL15	1.3663154	0.8207078	0.54560757	3.241237	0.0035526764	0.2682502	0.54560757
AL391056.1	0.68042576	0.13561888	0.5448069	3.674275	0.0019816838	0.27819812	0.5448069
FXYD2	1.2145498	1.7593101	-0.54476035	-2.40264	0.03067925	0.3250239	0.54476035
JPT1	4.403058	3.8585815	0.5444765	4.7936554	7.683481e-05	0.17508286	0.5444765
GNA15	1.4002233	0.85594577	0.5442775	3.774736	0.0009374314	0.22072905	0.5442775
CNTLN	1.0525382	0.50900966	0.5435285	4.217284	0.0003077102	0.19889076	0.5435285
SAP30	2.5469542	2.004228	0.54272604	4.400016	0.00019977601	0.19105087	0.54272604
AIRE	1.2384176	0.6959915	0.5424261	3.9407723	0.00062845304	0.21913117	0.5424261
ENC1	1.0270549	1.5669515	-0.5398966	-2.8659117	0.009848611	0.28051966	0.5398966
ANXA4	2.5435646	2.0044076	0.5391569	3.543573	0.0019245318	0.21626247	0.5391569
AFF3	2.34147	2.880037	-0.53856707	-2.5687563	0.01907548	0.32451665	0.53856707
ICA1L	2.885077	3.422683	-0.537606	-3.5373874	0.0016995174	0.2338894	0.537606
AL157394.3	1.0688981	0.5323409	0.5365572	3.3379574	0.002777784	0.25227013	0.5365572
IER5	3.9542854	3.4181442	0.53614116	2.0216937	0.058040265	0.47427008	0.53614116
HLA-DRB1	3.6908388	3.155065	0.53577375	1.6158643	0.12233357	0.7216073	0.53577375
EVA1B	2.1980991	1.6624794	0.53561974	1.6555209	0.1144127	0.99981105	0.53561974
CCR5	1.0530301	0.5175744	0.5354557	2.8835084	0.010061087	0.38452333	0.5354557
BISPR	3.0434473	2.5083137	0.5351336	5.6158156	1.0888043e-05	0.14374152	0.5351336
PLXNA4	0.98602134	0.45101452	0.5350068	4.8685684	8.07894e-05	0.17221951	0.5350068
LRRN3	3.0240629	3.558813	-0.5347502	-2.6809263	0.0136638945	0.3275608	0.5347502
PSD3	0.8716039	0.33699554	0.53460836	4.1561465	0.00039779316	0.20459498	0.53460836
LDLR	2.118926	1.5844635	0.5344626	4.019671	0.0005244125	0.19145101	0.5344626
TWIST1	0.72507036	0.19179633	0.53327405	2.8174033	0.010046115	0.3651777	0.53327405
E2F2	1.087626	0.55446917	0.5331568	3.4737945	0.0024691506	0.27605537	0.5331568
IL12RB2	1.2370591	0.70436513	0.532694	3.6388552	0.0017105003	0.2580513	0.532694
AL022067.1	0.89167976	0.3603719	0.5313079	3.797645	0.00095227733	0.22762334	0.5313079
NCAPG2	1.6410499	1.1102866	0.53076327	3.7146256	0.0014164039	0.24782708	0.53076327
CD83	1.801238	1.2707455	0.5304924	2.685489	0.01294236	0.35095316	0.5304924
SOCS1	3.749044	3.2187867	0.5302572	3.3312008	0.0029984694	0.23470224	0.5302572
IRF5	1.1567317	0.62740195	0.5293298	4.229964	0.00036004005	0.19970463	0.5293298
TXN	4.9709096	4.4423385	0.5285711	4.4321513	0.00023513753	0.15719628	0.5285711
PHPT1	4.246066	3.717627	0.52843904	6.0982356	3.1190575e-06	0.12810376	0.52843904
CLIC1	5.451665	4.923542	0.5281229	3.5954757	0.0015636884	0.211264	0.5281229
APOBEC3C	3.5918498	3.063969	0.5278809	4.240548	0.0003010978	0.1749193	0.5278809
REC8	2.5332909	2.0057702	0.52752066	5.147665	2.8617163e-05	0.14603098	0.52752066
IL7	0.87561214	0.3481803	0.52743185	4.558337	0.0001989248	0.18518679	0.52743185
HLA-DRA	3.5748563	3.047452	0.5274043	1.4183019	0.1702698	0.9557633	0.5274043
NRCAM	0.44638866	0.9729966	-0.52660793	-2.8641074	0.011247694	0.24730058	0.52660793
IL15RA	1.7205443	1.1939718	0.5265726	4.4960866	0.0001555574	0.16357292	0.5265726
PARP14	4.079026	3.5529354	0.52609086	3.590245	0.0014879447	0.23185793	0.52609086
FAM184B	1.4549329	1.9803835	-0.5254506	-2.8930426	0.0101713985	0.24810281	0.5254506
SEPTIN2	3.782165	3.2579582	0.5242069	0.79398495	0.43802935	2.4743404	0.5242069
LRP6	1.0587976	1.5829736	-0.524176	-4.6784916	0.0001875081	0.13880497	0.524176
RAB11FIP1	3.7351499	3.2117581	0.5233917	4.6276736	0.00011121651	0.16634524	0.5233917
AC104695.4	1.4709303	0.9476988	0.52323157	1.6519146	0.11243348	0.7298719	0.52323157
