gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
MSR1	1.4618374	0.6655185	0.7963189	5.4423747	2.5788731e-06	0.5146849	0.7963189
ATF3	3.658725	2.8630495	0.7956755	4.656091	9.967642e-05	0.44855827	0.7956755
HELZ2	3.2280333	2.4332838	0.7947495	6.436003	1.08793074e-07	0.38872924	0.7947495
HBM	1.4480927	0.65560514	0.79248756	2.327679	0.026331177	1.7683642	0.79248756
SLC1A3	0.9672315	0.17723817	0.78999335	5.151866	1.1110114e-05	0.6828346	0.78999335
TFEC	2.402844	1.6144825	0.78836143	5.4698195	1.0810299e-05	0.36171362	0.78836143
IFIH1	2.7898953	2.0041647	0.7857306	6.7265496	5.2166058e-08	0.4186953	0.7857306
GPR35	2.1362846	1.3530284	0.7832562	5.484696	3.394314e-06	0.4337218	0.7832562
LGALS9	4.585135	3.8023872	0.78274775	6.8331246	2.5633561e-08	0.36375004	0.78274775
LAG3	2.9672267	2.1900318	0.777195	4.8243456	2.0136393e-05	0.57127184	0.777195
LY96	4.2932057	3.5170145	0.77619123	6.4203877	2.8422178e-07	0.32607928	0.77619123
BLVRA	3.975139	3.2016463	0.7734926	6.6231465	5.7511503e-08	0.35641325	0.7734926
NFIL3	2.744094	1.9709624	0.7731315	4.674967	0.00013633347	0.38133594	0.7731315
MAFB	4.0202355	3.247547	0.7726886	4.9409056	1.8329018e-05	0.49084228	0.7726886
ANPEP	2.5822132	1.8095883	0.77262485	4.53216	0.0001032172	0.47821772	0.77262485
CA1	1.2603216	0.4879179	0.7724037	2.214424	0.033346176	1.9689274	0.7724037
CSTA	5.428629	4.6604986	0.7681303	4.7577806	0.00012100994	0.35997152	0.7681303
FPR2	1.8001105	1.0323611	0.7677493	4.366788	0.000109314155	0.5750843	0.7677493
LRRK2	3.1564796	2.3943498	0.7621298	5.338789	1.2058994e-05	0.36397153	0.7621298
LGALS2	4.6958632	3.9338982	0.76196504	2.6388454	0.015513191	0.92487377	0.76196504
STAC3	2.480367	1.7188171	0.76154983	6.2786694	1.6751889e-07	0.3784966	0.76154983
DYSF	1.7718675	1.0122733	0.7595942	5.3249135	5.1394727e-06	0.43397117	0.7595942
MS4A6A	4.918078	4.1587586	0.7593193	4.208948	0.0003232332	0.4681799	0.7593193
GRN	5.428049	4.6702447	0.7578044	5.471084	5.3694507e-06	0.37610105	0.7578044
KCTD12	3.7518559	2.9943628	0.757493	4.5187526	0.00019074621	0.38795736	0.757493
S100B	2.7109933	3.468013	-0.75701976	-2.5194373	0.018150024	1.2014295	0.75701976
CRISPLD2	2.172509	1.416315	0.756194	4.5239725	0.00012445619	0.43724757	0.756194
ASGR2	2.0948136	1.3396963	0.7551173	4.433107	0.00016092793	0.44667765	0.7551173
LAMP3	1.3388394	0.5854911	0.7533483	5.9846144	4.2591137e-07	0.42591617	0.7533483
LILRB2	3.794151	3.0432456	0.7509055	5.2092786	1.2690631e-05	0.3877645	0.7509055
IFI35	4.172676	3.4244034	0.74827266	5.6872296	1.3431047e-06	0.481893	0.74827266
SERPINB2	1.4470565	0.69924515	0.7478114	4.1400027	0.00037407965	0.4707098	0.7478114
EPHB2	1.0337818	0.2868661	0.7469157	6.5833793	6.434316e-08	0.3365167	0.7469157
BST1	3.1302845	2.3843806	0.74590397	4.682446	0.000149989	0.3430417	0.74590397
SIRPA	2.564434	1.8210435	0.74339056	5.0021114	4.821604e-05	0.3417196	0.74339056
PDK4	1.6548623	0.9117325	0.7431298	4.6782513	3.020114e-05	0.58069235	0.7431298
OSCAR	2.9468124	2.2037792	0.7430332	4.589981	0.00020446302	0.33970812	0.7430332
DTX3L	3.0258706	2.2842195	0.74165106	6.6183085	5.310715e-08	0.33763692	0.74165106
LINC00482	1.1377313	0.39762992	0.7401014	7.123188	2.1945082e-08	0.27317762	0.7401014
MARC1	1.7313209	0.9942039	0.73711693	4.7060614	0.00019110386	0.30526045	0.73711693
SIRPB1	2.538348	1.8018326	0.7365154	4.9210343	2.6706857e-05	0.41265813	0.7365154
AK5	2.5297167	3.263011	-0.73329425	-6.231169	2.4240092e-07	0.33602077	0.73329425
RHOB	4.0267487	3.2972631	0.7294855	5.3181505	6.7110423e-06	0.3791748	0.7294855
RP11-273G15.2	1.2246023	0.4964431	0.72815925	7.347273	5.1677334e-09	0.2790614	0.72815925
RNF144B	2.9324343	2.205492	0.7269423	4.708327	7.9762605e-05	0.3772303	0.7269423
WARS	3.9573703	3.2308836	0.7264867	4.851005	2.7734148e-05	0.42840123	0.7264867
CD68	4.8030653	4.0787454	0.72431993	5.049063	1.7924729e-05	0.38691634	0.72431993
CEACAM4	1.951483	1.2290877	0.7223953	5.4401407	2.6318273e-06	0.42031783	0.7223953
MT1E	2.8417587	2.119769	0.72198963	2.8682053	0.009265332	0.7243416	0.72198963
HESX1	1.169939	0.4482085	0.72173053	5.282035	5.56845e-06	0.5191031	0.72173053
ADAMTSL4	1.7567866	1.0352716	0.72151494	5.9055305	6.4112515e-07	0.3570862	0.72151494
LRG1	1.444085	0.7289808	0.7151042	5.290185	1.0877046e-05	0.33908048	0.7151042
FGD4	2.372241	1.6588362	0.7134048	5.462142	4.5896713e-06	0.3454914	0.7134048
TIMP2	3.164632	2.4533484	0.7112837	4.9760494	5.1995976e-05	0.3143011	0.7112837
PVRL2	1.5488878	0.8381925	0.7106953	4.7249007	3.156738e-05	0.4632697	0.7106953
C2	1.2662416	0.55574185	0.7104997	5.7283287	9.851863e-07	0.40195847	0.7104997
P2RY13	2.5542858	1.8441566	0.71012914	4.041742	0.00054009643	0.41890472	0.71012914
PHC2	2.526652	1.8174037	0.7092484	6.3977036	1.4807188e-07	0.30103034	0.7092484
SLC11A1	3.8251326	3.1168969	0.70823574	4.869544	4.5764442e-05	0.3523947	0.70823574
CD300E	3.4366515	2.7292085	0.707443	4.267328	0.00011818297	0.5682468	0.707443
DDX60L	3.2235491	2.5174556	0.70609355	6.1367183	5.106804e-07	0.29591867	0.70609355
IFI30	4.241157	3.536154	0.705003	4.181628	0.00026379467	0.45210633	0.705003
CREG1	3.6783164	2.973375	0.7049413	6.7735624	4.2508248e-08	0.27778733	0.7049413
HP	1.111242	0.4082422	0.70299983	4.644465	3.4364013e-05	0.5110575	0.70299983
NAMPT	4.7041206	4.003314	0.7008066	4.692538	6.466875e-05	0.37672707	0.7008066
IFIT5	2.798781	2.103995	0.69478583	7.035598	4.4203166e-08	0.23476094	0.69478583
FEZ1	0.9168568	1.6114694	-0.69461256	-4.1654506	0.0011330195	0.23769163	0.69461256
LRRN3	2.4431238	3.1374788	-0.694355	-3.7635932	0.00086505397	0.49941248	0.694355
MYOM2	2.005936	2.698848	-0.6929121	-2.1369154	0.044290252	1.1577791	0.6929121
CYBB	4.507437	3.81566	0.6917772	4.8411665	4.8520677e-05	0.34047836	0.6917772
HK3	2.3760946	1.6857494	0.69034517	5.288254	7.730999e-06	0.3386376	0.69034517
ASGR1	3.2873151	2.5976603	0.6896548	3.4789546	0.0021198578	0.500833	0.6896548
LILRB4	3.0971792	2.4091885	0.68799067	4.6168437	8.92338e-05	0.36013433	0.68799067
HIST2H2AA3	3.3550406	2.6674883	0.6875522	4.2402	0.0001720415	0.46691346	0.6875522
BLVRB	4.411594	3.7291563	0.68243766	4.8608575	5.2638617e-05	0.3190064	0.68243766
JAK2	2.7519088	2.0701246	0.68178415	5.686407	1.5988836e-06	0.32027417	0.68178415
EPB41L3	2.3323784	1.6514397	0.6809387	5.8361	9.5130144e-07	0.31086662	0.6809387
PASK	3.0806348	3.7613955	-0.6807606	-4.753494	3.4669538e-05	0.39571503	0.6807606
H1F0	2.48863	1.8109634	0.67766666	4.309979	0.00024179902	0.36425126	0.67766666
IL1RN	2.7132847	2.0366058	0.6766789	4.035864	0.00036864344	0.45149085	0.6766789
RBM47	2.9316356	2.2556038	0.6760318	5.268395	1.25174065e-05	0.30021977	0.6760318
CCR1	2.6631584	1.9873954	0.675763	4.427478	7.094575e-05	0.4932813	0.675763
GBP1	3.7103145	3.0350363	0.6752782	5.001343	1.11660975e-05	0.41305926	0.6752782
RP11-386I14.4	4.316228	3.6414926	0.6747353	5.527065	2.4995147e-06	0.33111995	0.6747353
PARP14	3.8238664	3.150042	0.6738243	5.821749	7.275228e-07	0.33739597	0.6738243
FCGR2A	3.4177144	2.745691	0.6720233	4.3508935	0.0001829649	0.37450233	0.6720233
FXYD6	1.5367358	0.8661592	0.6705766	5.4675717	8.889796e-06	0.27082628	0.6705766
THBD	1.8588026	1.1891698	0.6696328	3.4865222	0.0013931161	0.6228083	0.6696328
IL15	2.3555412	1.6872047	0.6683365	5.9445343	5.185466e-07	0.31147793	0.6683365
RAB31	3.7451515	3.0779862	0.6671653	4.5970955	0.00013149086	0.3098909	0.6671653
PRKCDBP	1.2400469	0.5732755	0.66677135	5.285073	1.5560625e-05	0.2767919	0.66677135
RBP7	3.5129745	2.8487017	0.6642728	3.141675	0.00463445	0.5605443	0.6642728
DOK3	2.6725037	2.0100691	0.6624346	5.754296	2.162695e-06	0.27178812	0.6624346
TRIM22	4.425623	3.7640083	0.66161466	6.164676	2.3759078e-07	0.31641605	0.66161466
B4GALT5	2.4226708	1.761787	0.6608838	5.5060606	1.0205528e-05	0.250487	0.6608838
STX11	4.078178	3.417599	0.66057897	4.664747	4.5252942e-05	0.38346624	0.66057897
CTB-61M7.2	3.2146237	2.5541296	0.6604941	3.1137884	0.0056978	0.4907379	0.6604941
KLRB1	5.2503076	5.910188	-0.65988064	-6.386551	4.9855186e-07	0.22539195	0.65988064
IL8	5.5414805	4.8817935	0.65968704	3.1721337	0.0034832326	0.6620366	0.65968704
GLUL	4.373194	3.7136543	0.65953994	5.1349287	1.2660483e-05	0.31990603	0.65953994
KYNU	2.9895427	2.3303638	0.659179	5.5573926	2.2235583e-06	0.31513932	0.659179
TYMS	2.1004062	1.441304	0.6591022	3.5761917	0.00090143963	0.7723847	0.6591022
FGL2	4.558838	3.9007454	0.6580925	4.0066123	0.00049566134	0.39288226	0.6580925
FLVCR2	1.3501896	0.6922583	0.65793127	6.7277493	3.5718504e-08	0.26639992	0.65793127
SAMD9L	3.8075464	3.151684	0.65586233	5.0188994	1.1924779e-05	0.45827615	0.65586233
PTGDS	2.5412955	3.196459	-0.6551635	-2.09265	0.051908527	0.84934783	0.6551635
EREG	3.3847358	2.7300975	0.6546383	2.7512436	0.011037607	0.7238534	0.6546383
AC017076.5	0.77214146	0.119685724	0.65245575	7.266046	2.3412081e-08	0.27614525	0.65245575
SPI1	5.069106	4.417238	0.65186787	4.9791827	1.3990764e-05	0.3621252	0.65186787
GM2A	2.5757902	1.9258511	0.64993906	6.6617727	8.977519e-08	0.22906156	0.64993906
CST3	6.859802	6.2104063	0.64939547	4.3025265	0.000165421	0.38591668	0.64939547
RRM2	2.0523462	1.4041804	0.6481658	3.01859	0.004307211	0.9559579	0.6481658
LILRB3	2.6721647	2.029091	0.6430738	5.526628	5.4418233e-06	0.2592748	0.6430738
DEFB1	0.6937933	0.05093166	0.64286166	4.425582	9.779939e-05	0.5883495	0.64286166
MEFV	2.0087228	1.3693197	0.6394031	5.010469	2.4094401e-05	0.29236045	0.6394031
STAT2	3.6783347	3.0393243	0.6390104	6.0016236	4.1308604e-07	0.28541073	0.6390104
DHX58	2.4623146	1.8237617	0.6385529	6.648614	4.9644587e-08	0.26706582	0.6385529
LILRA6	2.0159416	1.3776932	0.63824844	4.3060026	0.00013651296	0.39921945	0.63824844
SLC8A1	2.341545	1.7066773	0.6348678	5.0738106	1.9078672e-05	0.28648865	0.6348678
KCNE1	1.6137367	0.9791855	0.6345512	4.6704617	0.00013986009	0.25614944	0.6345512
ZCCHC2	2.6486254	2.0170982	0.6315272	7.1744995	8.1912725e-09	0.22637786	0.6315272
HBG1	1.6312053	1.0002638	0.6309415	0.9738934	0.3427027	3.7430732	0.6309415
NLRP3	2.9084191	2.2776525	0.63076663	3.182223	0.0038646776	0.53387797	0.63076663
RP11-274B18.2	1.7512983	1.1210068	0.63029146	5.859346	1.3295282e-06	0.2466574	0.63029146
TREM1	3.433949	2.8040693	0.6298797	3.165692	0.005259112	0.4196014	0.6298797
LMO2	2.783439	2.1543913	0.62904763	4.76949	5.3937118e-05	0.29408666	0.62904763
ANKRD22	1.0404354	0.41220388	0.6282315	4.5013123	6.000639e-05	0.504311	0.6282315
CD93	3.074244	2.4468267	0.6274173	3.4977515	0.002556013	0.3503519	0.6274173
ARHGEF40	3.1293406	2.5019526	0.627388	3.71961	0.0014455203	0.3328978	0.627388
S100P	1.4344934	0.80866426	0.62582916	3.9971323	0.0003470803	0.4239019	0.62582916
CELA1	1.5320089	2.156623	-0.624614	-5.186969	1.077584e-05	0.28319314	0.624614
CD302	3.7063663	3.082862	0.6235044	3.816436	0.0010327934	0.33571085	0.6235044
PRRG4	1.7901436	1.1672028	0.6229408	5.350118	1.0079451e-05	0.24904872	0.6229408
CYP1B1	2.8853319	2.2627614	0.6225705	2.6228387	0.019088205	0.46000394	0.6225705
GCA	3.977343	3.3550608	0.62228227	5.334124	5.44309e-06	0.28458154	0.62228227
HNMT	3.1802533	2.5585775	0.6216757	4.1411886	0.00043289404	0.30664697	0.6216757
LRRC25	3.5380297	2.9165347	0.621495	4.2298	0.00016766503	0.39219087	0.621495
SRGAP2	2.8872652	2.2657723	0.62149286	5.996225	8.0207843e-07	0.2356875	0.62149286
CEBPB	5.1743503	4.553253	0.6210971	4.4204874	0.00015830582	0.30830607	0.6210971
NOD2	1.6988984	1.0793159	0.61958253	4.558541	0.00020493854	0.24362198	0.61958253
IRF5	2.7017367	2.0835593	0.6181774	4.586998	6.835237e-05	0.32507747	0.6181774
DNTT	0.2497182	0.8676081	-0.6178899	-5.8691297	1.7387292e-05	0.16317423	0.6178899
SAT1	6.650118	6.032704	0.617414	5.8139777	1.467425e-06	0.24066241	0.617414
PGAP1	2.1064925	1.4891442	0.6173483	7.2591214	8.4065555e-09	0.19699681	0.6173483
PYGL	2.4321778	1.8156513	0.6165265	4.3823385	0.00015815663	0.3182513	0.6165265
TOP2A	1.5935462	0.9777052	0.615841	4.049767	0.0002160469	0.5176537	0.615841
FHIT	3.4555106	4.070769	-0.6152582	-5.066412	1.8490791e-05	0.27275324	0.6152582
FMN1	1.4522109	0.8371584	0.6150525	4.3139853	0.00030271884	0.2760889	0.6150525
MEGF9	3.1229067	2.5094478	0.6134589	4.9170003	7.1342656e-05	0.22827947	0.6134589
C9orf72	3.6129348	2.9995298	0.613405	6.2757354	2.0034189e-07	0.23502953	0.613405
TMEM170B	2.6708384	2.0581496	0.6126888	3.8428984	0.00076297764	0.3614278	0.6126888
GSTM1	0.4296805	1.0414695	-0.611789	-2.5016901	0.023848051	0.50117034	0.611789
HPSE	2.3852246	1.7735372	0.6116874	5.133216	1.2712592e-05	0.27536225	0.6116874
EMP1	1.920703	1.3095905	0.6111126	3.142616	0.004337675	0.5032211	0.6111126
SLC4A10	0.75519526	1.3658653	-0.6106701	-4.0736017	0.00044289604	0.3217057	0.6106701
KLF10	4.156057	3.5469244	0.6091325	4.1737194	0.00028833584	0.32978225	0.6091325
FAR2	1.6440395	1.0352008	0.6088387	7.2083097	1.3020986e-08	0.18703648	0.6088387
SPTLC2	3.3865077	2.7785153	0.6079924	6.148913	3.1146578e-07	0.28369316	0.6079924
TREX1	3.6816275	3.0738134	0.6078141	6.569682	6.967561e-08	0.25090078	0.6078141
REC8	2.7008204	2.0930655	0.60775495	7.875758	1.2620603e-09	0.19982843	0.60775495
TRIB1	3.1356254	2.528102	0.60752344	3.9447424	0.00055083685	0.35147336	0.60752344
GNG5P2	2.0283096	1.4211004	0.6072092	4.675116	0.0001062837	0.25189486	0.6072092
CCNA2	1.162508	0.55601335	0.60649467	3.9923518	0.00026633457	0.5541688	0.60649467
IL10	1.1208855	0.5159614	0.6049241	6.0402718	3.4763352e-07	0.2645356	0.6049241
SLC7A7	3.9494195	3.3448708	0.6045487	4.485985	0.00012113897	0.29417118	0.6045487
DMXL2	3.0184233	2.415187	0.60323644	4.173669	0.000292367	0.32173237	0.60323644
NEAT1	6.792332	6.1891665	0.6031656	5.5954614	5.7410284e-06	0.21562722	0.6031656
