dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE174188_CD4	11	20260811	PCA pseudobulk	0.9779897742860706	0.9854877329800448	0.0939896056061307
SLE_GSE174188_CD4	12	20260812	Frozen Geneformer	0.9781768300286818	0.9873060009562468	0.0684619374081625
SLE_GSE174188_CD4	12	20260812	Mean-HVG pseudobulk	0.9814814814814816	0.989634749891285	0.0633989937407939
SLE_GSE174188_CD4	12	20260812	PCA pseudobulk	0.9537972315750094	0.9717199138629464	0.1280316237375593
SLE_GSE174188_CD4	13	20260813	Frozen Geneformer	0.986656690360394	0.9919269714488218	0.0497023310726448
SLE_GSE174188_CD4	13	20260813	Mean-HVG pseudobulk	0.9841626137922436	0.9905521851185568	0.060083637068719
SLE_GSE174188_CD4	13	20260813	PCA pseudobulk	0.968824042898117	0.9812528117832192	0.0939103528359559
SLE_GSE174188_CD4	14	20260814	Frozen Geneformer	0.9832896869933908	0.9901047501826574	0.0462480834748635
SLE_GSE174188_CD4	14	20260814	Mean-HVG pseudobulk	0.974373363262252	0.9860386027621312	0.0704267226894291
SLE_GSE174188_CD4	14	20260814	PCA pseudobulk	0.976555680259384	0.9875235754658174	0.0982742057431873
SLE_GSE174188_CD4	15	20260815	Frozen Geneformer	0.9870308018456166	0.9921610925678211	0.0484204072218793
SLE_GSE174188_CD4	15	20260815	Mean-HVG pseudobulk	0.9683875794986906	0.977554776745332	0.080186541061887
SLE_GSE174188_CD4	15	20260815	PCA pseudobulk	0.9691981543833396	0.9797076855961772	0.1146948988013521
SLE_GSE174188_CD4	16	20260816	Frozen Geneformer	0.9792991644843496	0.9880125039918984	0.0582549633425376
SLE_GSE174188_CD4	16	20260816	Mean-HVG pseudobulk	0.9723157500935278	0.981475252926064	0.0763076424772431
SLE_GSE174188_CD4	16	20260816	PCA pseudobulk	0.9608429978800348	0.9775940769312668	0.1162974355585799
SLE_GSE174188_CD4	17	20260817	Frozen Geneformer	0.978675645342312	0.9878463302142472	0.0593007493921909
SLE_GSE174188_CD4	17	20260817	Mean-HVG pseudobulk	0.9788003491707196	0.9881056627488662	0.0717222647165962
SLE_GSE174188_CD4	17	20260817	PCA pseudobulk	0.9683875794986906	0.9828635024653272	0.1005099217844237
SLE_GSE174188_CD4	18	20260818	Frozen Geneformer	0.9849108367626886	0.9907901878108544	0.0509936410161103
SLE_GSE174188_CD4	18	20260818	Mean-HVG pseudobulk	0.9768050879161992	0.9849256414365164	0.0646594518227944
SLE_GSE174188_CD4	18	20260818	PCA pseudobulk	0.9569148272851976	0.977435703643292	0.1575126050186839
SLE_GSE174188_CD4	19	20260819	Frozen Geneformer	0.9811697219104628	0.988776994837656	0.0613428117296805
SLE_GSE174188_CD4	19	20260819	Mean-HVG pseudobulk	0.9852225963337072	0.9908840846380672	0.0646557191301534
SLE_GSE174188_CD4	19	20260819	PCA pseudobulk	0.9548572141164732	0.975513790621164	0.1760454953665585
SLE_GSE174188_CD4	20	20260820	Frozen Geneformer	0.9809826661678512	0.9887238726851988	0.0620836330290832
