rep,seed,auc
334,685011531,0.4708193041526375
335,888421934,0.5178949993764809
336,1111519893,0.38826536974685116
337,1943019180,0.5799975059234319
338,1270667844,0.5508168100760693
339,1628890915,0.48241676019453794
340,500931583,0.4779274223718668
341,446912186,0.4531737124329717
342,2060814825,0.4521137298915076
343,366375963,0.43746103005362263
344,1752560774,0.4022945504426986
345,392847846,0.525564284823544
346,1812578061,0.49401421623643843
347,301724176,0.43172465394687615
348,987267181,0.6341189674523008
349,989899585,0.45504426985908464
350,2100506270,0.5196408529741863
351,159516834,0.560481356777653
352,1584850811,0.4852225963337074
353,1633706166,0.5080433969322858
354,1449077839,0.6137298915076692
355,316203220,0.5501932909340317
356,1610285933,0.6101134804838508
357,861142946,0.5011223344556678
358,1733664627,0.4748098266616785
359,1243531052,0.5394687616909839
360,7122049,0.49164484349669535
361,1235433499,0.47368749220601075
362,714366483,0.4241800723282205
363,612271480,0.5240678388826536
364,119265167,0.5115351041276968
365,1680988064,0.39231824417009603
366,667079016,0.4833520389075945
367,921412633,0.5435216361142287
368,1068599753,0.401109864072827
369,1431263156,0.4686993390697095
370,738873082,0.5708941264496821
371,705287405,0.5301783264746228
372,53553342,0.47736625514403297
373,61830139,0.510911584985659
374,504391349,0.5059857837635615
375,1122296658,0.5869185684000499
376,1396641818,0.5351041276967202
377,287722677,0.38377603192418
378,152726611,0.5808080808080808
379,1053566266,0.576505798728021
380,740761471,0.4769921436588104
381,2105202133,0.6088040902855717
382,72186246,0.48915076692854476
383,554543174,0.4679511160992642
384,2108616646,0.5519391445317371
385,1455988742,0.5049881531363012
386,1891290693,0.5009976306272602
387,491643014,0.598640728270358
388,121572552,0.5057363761067465
389,334917430,0.45149021074947
390,121533647,0.5270607307644344
391,144980061,0.40485097892505295
392,246339421,0.501621149769298
393,1589347609,0.5091033794737498
394,1373063433,0.46832522758448686
395,1199922577,0.4971318119466267
396,1283798153,0.4986906098017209
397,402499427,0.39063474248659436
398,1894090689,0.4711310637236563
399,253946222,0.5526250155879785
400,1654827562,0.515712682379349
401,1817056501,0.5228208005985784
402,1263222681,0.4647711684748722
403,122968016,0.4303529118343933
404,464188411,0.48584611547574513
405,1061196451,0.49027310138421254
406,1990738765,0.4801097393689986
407,1763104008,0.49812944257388697
408,327299213,0.4103379473749844
409,1393751376,0.5006235191420376
410,1844334911,0.39955106621773284
411,531775720,0.4705698964958224
412,959598382,0.5720788128195535
413,829934141,0.5442075071704702
414,227055517,0.5185185185185186
415,1760729321,0.5144656440952737
416,1636659685,0.4978176830028682
417,1863346775,0.4769921436588103
418,1308316035,0.502930539967577
419,2111083183,0.5362888140665918
420,2076886778,0.4950118468636987
421,1779668956,0.5030552437959845
422,802281786,0.46209003616411026
423,57884442,0.4353410649706946
424,1049419877,0.4978176830028682
425,838942035,0.43858336450929036
426,156529952,0.5515650330465145
427,326322821,0.5402169846614291
428,469742931,0.5366005736376107
429,248721363,0.5351041276967202
430,701442729,0.42586357401172215
431,2112896609,0.462152388078314
432,747719839,0.515712682379349
433,248243601,0.5003741114852227
434,433055192,0.47836388577129313
435,1771016877,0.38683127572016457
436,1483855955,0.45984536725277464
437,1151891114,0.5052375607931163
438,1023587842,0.5520638483601447
439,2083567309,0.42661179698216734
440,1091337588,0.5046763935652825
441,1426405925,0.533046514527996
442,171809397,0.5197032048883901
443,1309817377,0.5361017583239805
444,1921673559,0.4551066217732885
445,2124369187,0.46277590722035167
446,698650205,0.46445940890385334
447,444344251,0.4971318119466268
448,1288905716,0.4473126324978176
449,1297433468,0.48472378102007735
450,1516856558,0.4880284324728769
451,1116614595,0.46994637735378475
452,1026275668,0.5278713056490835
453,1179077224,0.5806210250654695
454,997832141,0.5306771417882529
455,636733898,0.5551190921561292
456,260092535,0.4298540965207632
457,605941362,0.4830402793365756
458,1056311692,0.4942012719790497
459,533145265,0.3959970071081182
460,432291061,0.5421498940017458
461,1752985184,0.4338446190298042
462,229181962,0.4055368499812944
463,1067068228,0.42623768549694474
464,684607410,0.4946377353784761
465,2006177166,0.3465519391445317
466,1163880321,0.5372240927796483
467,1050200555,0.41015089163237306
468,1730648318,0.46502057613168724
469,394374518,0.5336700336700337
470,809251382,0.475745105374735
471,392529473,0.526125452051378
472,1683177365,0.5686494575383465
473,1219316083,0.40746975932161117
474,875998280,0.4937024566654196
475,489440580,0.4042274597830153
476,742675274,0.5250031175957102
477,797655481,0.4725651577503429
478,305799306,0.49364010475121584
479,1851033230,0.6037535852350666
480,2018261131,0.5482603815937149
481,1319486219,0.4304776156628008
482,2122658514,0.5865444569148273
483,276013570,0.5021823169971318
484,1326147625,0.5203890759446315
485,1587224615,0.48559670781893005
486,755095264,0.427235316124205
487,1490462541,0.49925177702955487
488,854096295,0.4993141289437585
489,1357251402,0.40927796483352036
490,979214098,0.5406534480608555
491,424145175,0.4976306272602569
492,1106986782,0.5336076817558298
493,1964567903,0.6855592966704077
494,1563280250,0.488277840129692
495,791960365,0.5630377852600075
496,1884829284,0.4872802095024317
497,1451414663,0.5794986906098017
498,1456437674,0.4523631375483227
499,598865133,0.5518767926175333
500,418215683,0.47674273600199524
501,411026277,0.4823544082803342
502,859829304,0.506422247162988
503,2016393272,0.5691482728519766
504,313874711,0.44475620401546323
505,455582375,0.5304277341314378
506,1051089404,0.37485970819304154
507,126811763,0.5223843371991519
508,1846756952,0.43596458411273226
509,777235714,0.5072951739618407
510,1014133241,0.5006858710562414
511,1607828519,0.5080433969322857
512,535733111,0.5177079436338695
513,227736078,0.5375982042648709
514,1642067573,0.5154009228083302
515,383208931,0.4528619528619528
516,1820305682,0.5025564284823544
517,1178523908,0.597268986157875
518,41437182,0.513343309639606
519,170713924,0.49800473874547946
520,1803808065,0.49625888514777405
521,1489765904,0.5803716174086544
522,131531175,0.47000872926798853
523,1281376540,0.5854221224591596
524,1515220941,0.5518144407033296
525,1086949604,0.5700835515650331
526,2118489711,0.5043646339942636
527,1428531265,0.4944506796358648
528,981348004,0.5007482229704452
529,758841108,0.502930539967577
530,2064747923,0.4612794612794613
531,490796979,0.40117221598703084
532,553322253,0.5031799476243921
533,696619451,0.5146526998378851
534,1152255383,0.41725900985160247
535,1059369656,0.48827784012969194
536,904787802,0.49395186432223476
537,2118931621,0.4787379972565158
538,1505960988,0.50960219478738
539,1299162758,0.4366504551689737
540,416818719,0.47468512283327097
541,2032209489,0.47206634243671286
542,777492299,0.4736874922060107
543,282439670,0.40366629255518144
544,1631196744,0.6000748222970445
545,1589089213,0.5155256266367377
546,2076411518,0.5172714802344432
547,1610801646,0.41545080433969317
548,1764281419,0.5995760069834144
549,1592778161,0.48098266616785135
550,1375630329,0.4490584860955231
551,1041295543,0.6296296296296297
552,199787205,0.5094151390447687
553,932520261,0.5029928918817808
554,243194714,0.37355031799476246
555,695579399,0.5309889013592717
556,1806613297,0.567402419254271
557,808600211,0.49201895498191794
558,1941312148,0.507731637361267
559,471057024,0.49145778775408405
560,721078489,0.430415263748597
561,253979536,0.5038034667664297
562,822587809,0.5453921935403416
563,1761546256,0.4370245666541962
564,1643652027,0.47948622022696097
565,1854362,0.45149021074947
566,246713797,0.4392068836513281
567,1674037828,0.5053622646215239
568,1698634540,0.4991270732011473
569,979972044,0.41376730265619155
570,565920852,0.5542461653572764
571,505710636,0.3580246913580247
572,93383696,0.5531861828158124
573,1291322125,0.48291557550816805
574,1501785052,0.48902606310013713
575,526024727,0.49120838009726897
576,1956411441,0.472003990522509
577,70629039,0.5622895622895624
578,505195737,0.458161865569273
579,971015128,0.5145903479236812
580,1604668710,0.4900236937273974
581,471657917,0.5060481356777653
582,1622536755,0.4549195660306772
583,339330176,0.5028058361391694
584,451242707,0.4879037286444694
585,1067847752,0.5848609552313255
586,1461088092,0.4241800723282204
587,1438665283,0.496258885147774
588,1934686133,0.5479486220226961
589,2021302921,0.5063598952487841
590,2113713044,0.48509789250529994
591,1767760297,0.48715550567402416
592,776978190,0.4875919690734506
593,2113324119,0.4836014465644096
594,1602247378,0.5741364259882777
595,932191239,0.39761815687741614
596,1814391292,0.546389824167602
597,1408737111,0.4127696720289313
598,30536335,0.5230702082553934
599,1238751103,0.4825414640229455
600,1496955639,0.4287317620650954
601,1378424967,0.48229205636613043
602,560653370,0.4070956478363886
603,1584354368,0.44525501932909345
604,1402697270,0.5014340940266866
605,1429529293,0.42517770295548074
606,1147721643,0.46053123830901604
607,512672045,0.5692106247661802
608,1993100722,0.5082304526748971
609,1508309809,0.49912707320114724
610,332008905,0.5211372989150768
611,276370532,0.5383464272353161
612,93223139,0.5145279960094774
613,1433923665,0.5578625763810949
614,2100329075,0.5245043022820801
615,505989474,0.4557301409153261
616,344347997,0.44693852101259507
617,1730594214,0.44937024566654193
618,1381201268,0.511472752213493
619,225826027,0.5499438832772167
620,2009069036,0.4005486968449931
621,606625354,0.5008729267988528
622,422699649,0.4518019703204888
623,388645329,0.4801097393689986
624,408102161,0.4821673525377229
625,259980058,0.5183314627759071
626,1835509931,0.4907719166978426
627,289022359,0.3968699339069709
628,1844130594,0.5520638483601445
629,602461429,0.49501184686369876
630,1297365480,0.5496321237061977
631,95286358,0.42486594338446193
632,1493540111,0.47505923431849356
633,822976736,0.4506172839506173
634,2006407180,0.4587853847113107
635,200379209,0.534355904726275
636,201360528,0.5609178201770795
637,885621772,0.4519890260631002
638,487238855,0.5046763935652824
639,64243949,0.46551939144531734
640,1063291117,0.4788003491707196
641,718619626,0.5206384836014465
642,1579597839,0.6293802219728146
643,1836545746,0.47312632497817686
644,745723825,0.48815313630128443
645,667645695,0.5720164609053497
646,127535995,0.5291183439331588
647,2101015257,0.5277466018206759
648,961468717,0.5004364633994264
649,1128367300,0.5295548073325851
650,2023627839,0.47861329342810827
651,482398463,0.5285571767053249
652,201348427,0.49519890260631
653,1727814310,0.4302282080059858
654,2005307346,0.5696470881656067
655,1001751702,0.4486220226960967
656,1951243217,0.4383963087666791
657,354875800,0.5206384836014466
658,1557340957,0.549819179448809
659,1385489650,0.4963212370619778
660,150717522,0.4910836762688614
661,480946788,0.44756204015463275
662,1096691616,0.41202144905848614
663,1596452715,0.457351290684624
664,677666343,0.5510662177328843
665,1025881990,0.455231325601696
666,1890565145,0.55861079935154
667,898141867,0.6248285322359395
668,699744593,0.514652699837885
669,321017964,0.44219977553310885
670,174253435,0.4705698964958224
671,27062793,0.4495573014091533
672,88461178,0.5034293552812071
673,2061457514,0.5972066342436713
674,1788337042,0.5587355031799476
675,138145281,0.4783638857712932
676,92039259,0.4794238683127572
677,629864578,0.4771791994014216
678,381136160,0.5170844244918319
679,540480900,0.4627135553061479
680,1431217135,0.5071081182192293
681,1713266657,0.5617283950617283
682,171702808,0.42243421873051507
683,634005647,0.41819428856465896
684,1907431928,0.48035914702581367
685,520173016,0.5263125077939892
686,2068184387,0.550629754333458
687,1550752893,0.38839007357525873
688,977502777,0.4955106621773288
689,95933243,0.4603441825664048
690,2052471218,0.5091033794737498
691,293120934,0.48328968699339064
692,1091321724,0.5793739867813943
693,517296846,0.45934655193914453
694,1618396520,0.4940142162364384
695,1734313997,0.5199526125452051
696,1467827585,0.5372240927796483
697,360968737,0.46003242299538605
698,600469828,0.49850355405910957
699,1625359018,0.3917570769422621
700,236731431,0.5049258012220974
701,2010864014,0.5468886394812321
702,1625818162,0.5036164110238184
703,1259750055,0.5721411647337573
704,927349126,0.4089038533482978
705,1282964260,0.38209253024067835
706,1276828456,0.5167726649208131
707,435428493,0.45092904352163615
708,1271841890,0.5068587105624142
709,1566131882,0.4145778775408405
710,536052290,0.5330465145279959
711,1199598627,0.5990148397555806
712,294404674,0.6071205886020701
713,395854403,0.4206883651328096
714,2146598124,0.5385958348921313
715,777523965,0.5664671405412145
716,967111710,0.4118343933158748
717,1542069523,0.5100386581868064
718,499457742,0.45149021074947004
719,1891655470,0.504239930165856
720,1170918121,0.4862825788751714
721,1102983497,0.5420875420875421
722,1211301406,0.39132061354283576
723,2123850012,0.4555430851727148
724,912477296,0.46452176081805713
725,1556965081,0.44537972315750096
726,1584562834,0.5000623519142038
727,2339921,0.5851103628881407
728,2096345165,0.5003741114852227
729,1769444134,0.4627759072203516
730,76278627,0.43309639605935907
731,1711475574,0.5306771417882529
732,730877483,0.3625140291806958
733,314875364,0.5041775782516523
734,1020004209,0.49925177702955487
735,1699072972,0.47487217857588226
736,1165504507,0.5460780645965831
737,416677703,0.6197780271854346
738,577984498,0.5266866192792119
739,317381145,0.5298042149894001
740,869830407,0.5476368624516772
741,630353801,0.5079810450180821
742,307859624,0.5351041276967202
743,898512836,0.5517520887891258
744,1998495652,0.4445067963586482
745,550480782,0.48166853722409275
746,1961425143,0.43783514153884523
747,1371107647,0.45485721411647334
748,635879080,0.5279336575632871
749,1238386461,0.49176954732510286
750,1115814192,0.5188926300037411
