variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
raw_plus_log_cells	pure_wave_4	observed	0	11	20260811	66	25	0.871219512195122
raw_plus_log_cells	pure_wave_4	observed	0	12	20260812	66	25	0.8839024390243903
raw_plus_log_cells	pure_wave_4	observed	0	13	20260813	66	25	0.7668292682926829
raw_plus_log_cells	pure_wave_4	observed	0	14	20260814	66	25	0.8965853658536586
raw_plus_log_cells	pure_wave_4	observed	0	15	20260815	66	25	0.8663414634146342
raw_plus_log_cells	pure_wave_4	observed	0	16	20260816	66	25	0.8439024390243902
raw_plus_log_cells	pure_wave_4	observed	0	17	20260817	66	25	0.8507317073170731
raw_plus_log_cells	pure_wave_4	observed	0	18	20260818	66	25	0.8839024390243904
raw_plus_log_cells	pure_wave_4	observed	0	19	20260819	66	25	0.8448780487804879
raw_plus_log_cells	pure_wave_4	observed	0	20	20260820	66	25	0.8575609756097561
raw_plus_log_cells	pure_wave_4	size_label_matched	1	1	20260801	66	25	0.9395121951219513
raw_plus_log_cells	pure_wave_4	size_label_matched	2	2	20260802	66	25	0.9170731707317074
raw_plus_log_cells	pure_wave_4	size_label_matched	3	3	20260803	66	25	0.9156097560975609
raw_plus_log_cells	pure_wave_4	size_label_matched	4	4	20260804	66	25	0.8965853658536586
raw_plus_log_cells	pure_wave_4	size_label_matched	5	5	20260805	66	25	0.8575609756097561
raw_plus_log_cells	pure_wave_4	size_label_matched	6	6	20260806	66	25	0.7317073170731707
raw_plus_log_cells	pure_wave_4	size_label_matched	7	7	20260807	66	25	0.9160975609756098
raw_plus_log_cells	pure_wave_4	size_label_matched	8	8	20260808	66	25	0.8682926829268293
raw_plus_log_cells	pure_wave_4	size_label_matched	9	9	20260809	66	25	0.9180487804878049
raw_plus_log_cells	pure_wave_4	size_label_matched	10	10	20260810	66	25	0.9356097560975609
raw_plus_log_cells	pure_wave_4	size_label_matched	11	11	20260811	66	25	0.942439024390244
raw_plus_log_cells	pure_wave_4	size_label_matched	12	12	20260812	66	25	0.8975609756097561
raw_plus_log_cells	pure_wave_4	size_label_matched	13	13	20260813	66	25	0.9043902439024392
raw_plus_log_cells	pure_wave_4	size_label_matched	14	14	20260814	66	25	0.9199999999999999
raw_plus_log_cells	pure_wave_4	size_label_matched	15	15	20260815	66	25	0.8536585365853658
raw_plus_log_cells	pure_wave_4	size_label_matched	16	16	20260816	66	25	0.8341463414634147
raw_plus_log_cells	pure_wave_4	size_label_matched	17	17	20260817	66	25	0.9160975609756098
raw_plus_log_cells	pure_wave_4	size_label_matched	18	18	20260818	66	25	0.9209756097560975
raw_plus_log_cells	pure_wave_4	size_label_matched	19	19	20260819	66	25	0.9102439024390244
raw_plus_log_cells	pure_wave_4	size_label_matched	20	20	20260820	66	25	0.928780487804878
