repeat	seed	representation	adjustment	n_donors	n_cases	roc_auc
15	20260815	geneformer	ridge_full_design	44	33	0.4683195592286501
15	20260815	geneformer	random_forest_full_design	44	33	0.7134986225895317
15	20260815	geneformer	batch_location_adjustment	44	33	0.8457300275482094
15	20260815	geneformer	overlap_weighted_full_design	44	33	0.856749311294766
15	20260815	hvg_pseudobulk	unadjusted	44	33	0.9449035812672175
15	20260815	hvg_pseudobulk	ridge_full_design	44	33	0.42975206611570255
15	20260815	hvg_pseudobulk	random_forest_full_design	44	33	0.7741046831955923
15	20260815	hvg_pseudobulk	batch_location_adjustment	44	33	0.8732782369146006
15	20260815	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9338842975206612
15	20260815	pca_pseudobulk	unadjusted	44	33	0.9696969696969697
15	20260815	pca_pseudobulk	ridge_full_design	44	33	0.43112947658402206
15	20260815	pca_pseudobulk	random_forest_full_design	44	33	0.7272727272727273
15	20260815	pca_pseudobulk	batch_location_adjustment	44	33	0.8732782369146006
15	20260815	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9614325068870523
16	20260816	geneformer	unadjusted	44	33	0.8705234159779615
16	20260816	geneformer	ridge_full_design	44	33	0.46143250688705234
16	20260816	geneformer	random_forest_full_design	44	33	0.6639118457300275
16	20260816	geneformer	batch_location_adjustment	44	33	0.8264462809917354
16	20260816	geneformer	overlap_weighted_full_design	44	33	0.862258953168044
16	20260816	hvg_pseudobulk	unadjusted	44	33	0.928374655647383
16	20260816	hvg_pseudobulk	ridge_full_design	44	33	0.5606060606060607
16	20260816	hvg_pseudobulk	random_forest_full_design	44	33	0.7520661157024794
16	20260816	hvg_pseudobulk	batch_location_adjustment	44	33	0.9338842975206612
16	20260816	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9256198347107438
16	20260816	pca_pseudobulk	unadjusted	44	33	0.928374655647383
16	20260816	pca_pseudobulk	ridge_full_design	44	33	0.5619834710743802
16	20260816	pca_pseudobulk	random_forest_full_design	44	33	0.7575757575757576
16	20260816	pca_pseudobulk	batch_location_adjustment	44	33	0.9338842975206612
16	20260816	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9256198347107438
17	20260817	geneformer	unadjusted	44	33	0.8154269972451791
17	20260817	geneformer	ridge_full_design	44	33	0.5606060606060606
17	20260817	geneformer	random_forest_full_design	44	33	0.7520661157024794
17	20260817	geneformer	batch_location_adjustment	44	33	0.8842975206611571
17	20260817	geneformer	overlap_weighted_full_design	44	33	0.8044077134986227
17	20260817	hvg_pseudobulk	unadjusted	44	33	0.933884297520661
17	20260817	hvg_pseudobulk	ridge_full_design	44	33	0.5151515151515151
17	20260817	hvg_pseudobulk	random_forest_full_design	44	33	0.7988980716253444
17	20260817	hvg_pseudobulk	batch_location_adjustment	44	33	0.9118457300275482
17	20260817	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9338842975206612
17	20260817	pca_pseudobulk	unadjusted	44	33	0.9559228650137742
17	20260817	pca_pseudobulk	ridge_full_design	44	33	0.5151515151515151
17	20260817	pca_pseudobulk	random_forest_full_design	44	33	0.8236914600550964
17	20260817	pca_pseudobulk	batch_location_adjustment	44	33	0.9118457300275482
17	20260817	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9449035812672176
18	20260818	geneformer	unadjusted	44	33	0.8732782369146005
18	20260818	geneformer	ridge_full_design	44	33	0.4269972451790634
18	20260818	geneformer	random_forest_full_design	44	33	0.7548209366391185
18	20260818	geneformer	batch_location_adjustment	44	33	0.8898071625344353
18	20260818	geneformer	overlap_weighted_full_design	44	33	0.8539944903581267
18	20260818	hvg_pseudobulk	unadjusted	44	33	0.9504132231404958
18	20260818	hvg_pseudobulk	ridge_full_design	44	33	0.5151515151515151
18	20260818	hvg_pseudobulk	random_forest_full_design	44	33	0.7768595041322315
18	20260818	hvg_pseudobulk	batch_location_adjustment	44	33	0.8980716253443527
18	20260818	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9283746556473829
18	20260818	pca_pseudobulk	unadjusted	44	33	0.9862258953168044
18	20260818	pca_pseudobulk	ridge_full_design	44	33	0.5702479338842975
18	20260818	pca_pseudobulk	random_forest_full_design	44	33	0.7823691460055097
18	20260818	pca_pseudobulk	batch_location_adjustment	44	33	0.8980716253443527
18	20260818	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9641873278236914
19	20260819	geneformer	unadjusted	44	33	0.8842975206611572
19	20260819	geneformer	ridge_full_design	44	33	0.5674931129476584
19	20260819	geneformer	random_forest_full_design	44	33	0.6942148760330579
19	20260819	geneformer	batch_location_adjustment	44	33	0.8484848484848484
19	20260819	geneformer	overlap_weighted_full_design	44	33	0.8760330578512396
19	20260819	hvg_pseudobulk	unadjusted	44	33	0.9449035812672176
19	20260819	hvg_pseudobulk	ridge_full_design	44	33	0.3994490358126722
19	20260819	hvg_pseudobulk	random_forest_full_design	44	33	0.8181818181818182
19	20260819	hvg_pseudobulk	batch_location_adjustment	44	33	0.9008264462809917
19	20260819	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9559228650137741
19	20260819	pca_pseudobulk	unadjusted	44	33	0.9696969696969696
19	20260819	pca_pseudobulk	ridge_full_design	44	33	0.371900826446281
19	20260819	pca_pseudobulk	random_forest_full_design	44	33	0.8099173553719009
19	20260819	pca_pseudobulk	batch_location_adjustment	44	33	0.9008264462809917
19	20260819	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9724517906336089
20	20260820	geneformer	unadjusted	44	33	0.9008264462809917
20	20260820	geneformer	ridge_full_design	44	33	0.4683195592286501
20	20260820	geneformer	random_forest_full_design	44	33	0.8209366391184573
20	20260820	geneformer	batch_location_adjustment	44	33	0.8539944903581268
20	20260820	geneformer	overlap_weighted_full_design	44	33	0.8705234159779616
20	20260820	hvg_pseudobulk	unadjusted	44	33	0.9173553719008264
20	20260820	hvg_pseudobulk	ridge_full_design	44	33	0.5234159779614326
20	20260820	hvg_pseudobulk	random_forest_full_design	44	33	0.7851239669421488
20	20260820	hvg_pseudobulk	batch_location_adjustment	44	33	0.9449035812672176
20	20260820	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9146005509641874
20	20260820	pca_pseudobulk	unadjusted	44	33	0.9118457300275482
20	20260820	pca_pseudobulk	ridge_full_design	44	33	0.534435261707989
20	20260820	pca_pseudobulk	random_forest_full_design	44	33	0.8760330578512397
20	20260820	pca_pseudobulk	batch_location_adjustment	44	33	0.9449035812672176
20	20260820	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9146005509641874
