gene,mean_sle,mean_control,delta_mean,cohen_d,welch_t,p_value,fdr_bh,auc_sle_high,discriminative_auc,n_sle_donors,n_control_donors,abs_cohen_d
IRF9,0.17653383,0.093166165,0.08336767,1.2144671327445486,10.707211,2.1878478e-22,4.2365202496258067e-19,0.81281954,0.81281954,162,99,1.2144671327445486
COX5A,0.39920467,0.30245593,0.09674874,1.2143019621156734,10.293173,5.6234937e-21,7.6719790869e-18,0.81387955,0.81387955,162,99,1.2143019621156734
PRDX4,0.07665653,0.048776694,0.027879834,1.212448647311693,10.979048,3.5943882e-23,8.630557394784e-20,0.8125078,0.8125078,162,99,1.212448647311693
LGALS3BP,0.1390155,0.07335518,0.06566031,1.2046094922589303,11.135471,1.7321756e-23,4.726319859854545e-20,0.82348174,0.82348174,162,99,1.2046094922589303
IRF7,0.15486802,0.07014828,0.08471974,1.2036133165442222,11.691202,2.8468203e-24,1.2206352069171428e-20,0.8256017,0.8256017,162,99,1.2036133165442222
TIMP1,0.41172418,0.27947253,0.13225165,1.1946092211443644,10.357085,2.993781e-21,4.383187460195122e-18,0.8194912,0.8194912,162,99,1.1946092211443644
CKS2,0.034812722,0.018740384,0.016072338,1.1851260134699844,11.226033,2.0658824999999998e-23,5.391773683043478e-20,0.8264746,0.8264746,162,99,1.1851260134699844
PHPT1,0.23299575,0.17404288,0.058952868,1.1821438040626815,10.165525,1.2732821e-20,1.4986779980156865e-17,0.8052126,0.8052126,162,99,1.1821438040626815
USP18,0.08034214,0.015266436,0.0650757,1.1796363671173002,11.766898,1.13606375e-23,3.4097817392499996e-20,0.86899865,0.86899865,162,99,1.1796363671173002
CHMP5,0.19674437,0.13490245,0.06184192,1.178480361420358,10.911284,9.429693000000001e-23,2.0215914693000002e-19,0.8067714,0.8067714,162,99,1.178480361420358
LDHA,0.5707045,0.4156555,0.15504903,1.168069438047757,9.872832,1.2204845999999999e-19,1.22105415948e-16,0.7993515,0.7993515,162,99,1.168069438047757
PSMB9,0.6539281,0.48621207,0.16771603,1.1622352287939168,9.630059,8.6231614e-19,7.007956692162162e-16,0.7976057,0.7976057,162,99,1.1622352287939168
GNG11,0.101792015,0.063261904,0.03853011,1.1565463955426232,10.220993,8.108959999999999e-21,1.0454669335914892e-17,0.8015962,0.8015962,162,99,1.1565463955426232
OASL,0.03136487,0.0091614835,0.022203386,1.1563632395958112,11.376091,5.4948706e-23,1.2686388168338462e-19,0.8426861,0.8426861,162,99,1.1563632395958112
ALOX5AP,0.37432528,0.24728823,0.12703705,1.155036961489229,10.16774,1.1880966e-20,1.426381254096e-17,0.8108243,0.8108243,162,99,1.155036961489229
MANF,0.15289858,0.10603565,0.04686293,1.1536090743651903,9.806483,1.8674850999999998e-19,1.7793872314730159e-16,0.7991645,0.7991645,162,99,1.1536090743651903
OAS1,0.10256356,0.025022086,0.07754147,1.152523871402792,11.432726,6.6249384e-23,1.472895563982222e-19,0.8605499,0.8605499,162,99,1.152523871402792
TMEM50A,0.3869066,0.29939413,0.08751246,1.1456831658066409,9.868233,1.0969662e-19,1.1160794415864408e-16,0.80147153,0.80147153,162,99,1.1456831658066409
TAP1,0.18445398,0.11221694,0.07223704,1.1445763632630326,9.972645,4.947979e-20,5.400314243854545e-17,0.8037162,0.8037162,162,99,1.1445763632630326
ENSG00000273445,0.12099978,0.06132876,0.059671022,1.1445722025154514,10.1827965,1.1035327e-20,1.3518951207265305e-17,0.8100137,0.8100137,162,99,1.1445722025154514
REEP5,0.19101965,0.13499048,0.05602917,1.14417559580032,9.808909,1.7274385e-19,1.672494810935484e-16,0.80103505,0.80103505,162,99,1.14417559580032
SPATS2L,0.06969283,0.012876961,0.056815866,1.1376006776769891,11.343695,1.7141123e-22,3.5480942463586206e-19,0.8741115,0.8741115,162,99,1.1376006776769891
MX1,0.20001516,0.06746763,0.13254753,1.134843188348627,11.165513,2.2590530000000002e-22,4.2377010463750006e-19,0.81475246,0.81475246,162,99,1.134843188348627
PGAP1,0.04293048,0.019749671,0.023180809,1.1331879862120005,10.802298,5.4745190000000005e-22,9.958315955515151e-19,0.7954234,0.7954234,162,99,1.1331879862120005
SH3BGRL3,1.6921254,1.3989583,0.2931671,1.1330185367667809,8.929831,2.1289413000000001e-16,8.693611452816328e-14,0.7860706,0.7860706,162,99,1.1330185367667809
TMSB10,4.1356525,4.003267,0.13238573,1.132072993421947,9.978929,4.730748e-20,5.258839647111111e-17,0.8100137,0.8100137,162,99,1.132072993421947
SAT1,0.8381391,0.67158407,0.16655505,1.1308892208036718,9.716141,3.3238704999999997e-19,2.891670990927536e-16,0.7903105,0.7903105,162,99,1.1308892208036718
GPR171,0.17601375,0.10543919,0.07057456,1.1299747720997069,10.337552,4.8404614e-21,6.918171831409524e-18,0.8072079,0.8072079,162,99,1.1299747720997069
S100A10,1.2142805,0.97193176,0.24234873,1.1289953395669596,9.524012,1.4936377e-18,1.179737945468421e-15,0.79854095,0.79854095,162,99,1.1289953395669596
SEC61B,0.5552614,0.4449397,0.11032167,1.1263786314271735,9.38064,4.6557906e-18,3.1758840697363634e-15,0.79479986,0.79479986,162,99,1.1263786314271735
HSP90AA1,1.1635098,0.8962283,0.26728153,1.124947945879914,8.937513,1.7876252e-16,7.664826107542857e-14,0.78675646,0.78675646,162,99,1.124947945879914
GBP1,0.1311114,0.07222318,0.05888822,1.1243852906495015,9.895223,8.666481999999999e-20,9.126869850807017e-17,0.81631124,0.81631124,162,99,1.1243852906495015
EIF2AK2,0.25498292,0.11701774,0.13796517,1.1175390189100267,10.716389,1.2772798e-21,2.0722311306594592e-18,0.7909964,0.7909964,162,99,1.1175390189100267
CHMP2A,0.27315077,0.20460686,0.06854391,1.116698686745585,9.15589,2.6471601e-17,1.4850815559140188e-14,0.7864447,0.7864447,162,99,1.116698686745585
CIB1,0.5849327,0.4737475,0.11118519,1.1153575814870405,9.065006,5.5040816e-17,2.6431920822784e-14,0.78893876,0.78893876,162,99,1.1153575814870405
IFITM2,1.0306139,0.8016471,0.22896677,1.1145528734965058,9.474295,1.9935437e-18,1.4958555152949999e-15,0.7839506,0.7839506,162,99,1.1145528734965058
SAMD9L,0.15556765,0.07231484,0.0832528,1.113761502467304,10.607559,2.0793043e-21,3.12041196301e-18,0.8173089,0.8173089,162,99,1.113761502467304
JPT1,0.17918913,0.11576576,0.06342337,1.1127189680082368,9.830372,1.3964206e-19,1.3741694389639343e-16,0.7913705,0.7913705,162,99,1.1127189680082368
CLU,0.07970032,0.045978498,0.033721823,1.1116243424589822,9.878809,1.0043354e-19,1.0394525067448275e-16,0.7934281,0.7934281,162,99,1.1116243424589822
PMAIP1,0.18399976,0.08880342,0.095196344,1.1114821023008188,10.723583,1.5897814e-21,2.511352575768421e-18,0.8321487,0.8321487,162,99,1.1114821023008188
PTPN7,0.15640974,0.10451368,0.051896058,1.1098763681525163,9.457156,2.2127534e-18,1.6198434279902438e-15,0.7980422,0.7980422,162,99,1.1098763681525163
PSMA7,0.69927853,0.5427424,0.15653616,1.1023665275924062,8.882314,2.1068777e-16,8.662442094219179e-14,0.78663176,0.78663176,162,99,1.1023665275924062
CD69,1.2837253,0.9380337,0.34569156,1.1017893414697202,8.877208,2.1812537000000003e-16,8.847047101594596e-14,0.777466,0.777466,162,99,1.1017893414697202
MYO1F,0.22906063,0.13287874,0.0961819,1.1015059366041586,9.33045,5.6383526e-18,3.760655887475555e-15,0.78444946,0.78444946,162,99,1.1015059366041586
DYNLRB1,0.35986638,0.2753603,0.084506094,1.0987834508023584,8.88738,1.9360026e-16,8.0704419495e-14,0.7850729,0.7850729,162,99,1.0987834508023584
ODF2L,0.32335415,0.2337306,0.089623556,1.0963445473486315,9.128231,2.6856159e-17,1.4927051041222223e-14,0.7858212,0.7858212,162,99,1.0963445473486315
TNFRSF18,0.05892079,0.02475574,0.034165047,1.0920385443067375,10.20314,1.9885761e-20,2.2955816563615384e-17,0.8319616,0.8319616,162,99,1.0920385443067375
DMAC1,0.2270839,0.17337409,0.05370982,1.0919009674207405,9.029676,5.670141000000001e-17,2.7013271741904766e-14,0.78033423,0.78033423,162,99,1.0919009674207405
DRAP1,0.5767363,0.44882843,0.12790784,1.0915941368545825,9.469267,1.865876e-18,1.4359590324102564e-15,0.7805836,0.7805836,162,99,1.0915941368545825
MB21D2,0.020357532,0.008806251,0.011551281,1.0902791838119887,10.113872,3.1746966e-20,3.59567334914717e-17,0.81310016,0.81310016,162,99,1.0902791838119887
DYNLL1,0.33413395,0.23240699,0.101726964,1.0882063860852509,9.109247,2.9058686e-17,1.567998248342857e-14,0.79417634,0.79417634,162,99,1.0882063860852509
OAS3,0.0507598,0.018445497,0.0323143,1.0845430748013811,10.601449,6.827306e-21,9.107322768177777e-18,0.83239806,0.83239806,162,99,1.0845430748013811
PSMB2,0.1843413,0.1382766,0.04606469,1.0822721766005263,9.065314,3.911014e-17,1.9728600705210083e-14,0.7848859,0.7848859,162,99,1.0822721766005263
RPA3,0.1977945,0.15793894,0.039855555,1.0819726934532607,8.906006,1.3825923000000002e-16,6.014076129304348e-14,0.78781646,0.78781646,162,99,1.0819726934532607
S100A4,2.2728386,1.8619027,0.41093588,1.0811621672987215,9.06664,3.8353827e-17,1.9511046840305085e-14,0.7866941,0.7866941,162,99,1.0811621672987215
CAVIN2,0.07681481,0.04476653,0.032048278,1.0788199369018447,9.624157,6.390640999999999e-19,5.480248542114285e-16,0.7767801,0.7767801,162,99,1.0788199369018447
IL32,2.13285,1.7115117,0.4213382,1.0776984155339004,8.454548,4.929722e-15,1.5909750119139786e-12,0.7815189,0.7815189,162,99,1.0776984155339004
TRADD,0.3221989,0.22070247,0.10149643,1.0771746424881596,8.866443,1.8064624000000002e-16,7.69066134377305e-14,0.77883774,0.77883774,162,99,1.0771746424881596
IFI27,0.3190346,0.033613417,0.2854212,1.077137923318379,10.770234,8.185671e-21,1.0454669335914892e-17,0.8951864,0.8951864,162,99,1.077137923318379
TRIM69,0.058309272,0.032620527,0.025688745,1.07499788807981,9.450441,2.1083062e-18,1.5624370935012346e-15,0.79037285,0.79037285,162,99,1.07499788807981
GALM,0.09204729,0.05932854,0.032718748,1.0742630515874887,9.171679,1.623803e-17,9.7473646484e-15,0.7817683,0.7817683,162,99,1.0742630515874887
ISG20,0.8839105,0.6878115,0.19609898,1.0734191607562893,9.786389,2.4421463e-19,2.255340893790769e-16,0.7700461,0.7700461,162,99,1.0734191607562893
MCTS1,0.1574796,0.12320463,0.034274966,1.071541107029316,9.000554,5.9602645e-17,2.8171870661889766e-14,0.7715426,0.7715426,162,99,1.071541107029316
BST2,0.36134478,0.24365038,0.11769441,1.0689110393185066,9.46175,1.9702536e-18,1.4958555152949999e-15,0.7779025,0.7779025,162,99,1.0689110393185066
PF4,0.16797112,0.10007843,0.06789269,1.0634366108989868,9.511442,1.4476898999999999e-18,1.1586923908959997e-15,0.7827036,0.7827036,162,99,1.0634366108989868
NOP10,0.37537894,0.28668505,0.08869389,1.0624864557460052,8.776851,3.1834195e-16,1.2450695926233767e-13,0.7817683,0.7817683,162,99,1.0624864557460052
TUBA1C,0.049764756,0.031032005,0.01873275,1.06178534059795,9.342442,4.534973e-18,3.165411154e-15,0.7738496,0.7738496,162,99,1.06178534059795
UBE2L6,0.24947228,0.16117294,0.088299334,1.0617338381656178,9.338876,4.649029e-18,3.1758840697363634e-15,0.788627,0.788627,162,99,1.0617338381656178
MYL12A,2.064308,1.8127732,0.2515347,1.059681376140466,8.819582,2.219967e-16,8.943636179597316e-14,0.7770296,0.7770296,162,99,1.059681376140466
ATP1B3,0.14648116,0.10723804,0.039243117,1.0583985253903536,8.895356,1.2197292e-16,5.464022717731343e-14,0.7722285,0.7722285,162,99,1.0583985253903536
PARP9,0.10426148,0.05244289,0.05181859,1.0542443192675963,9.8596,2.300091e-19,2.1573416023124999e-16,0.79405165,0.79405165,162,99,1.0542443192675963
ATG2A,0.13092896,0.07003083,0.060898133,1.0496158233510446,9.519379,1.5308773999999999e-18,1.1934481632103896e-15,0.79274225,0.79274225,162,99,1.0496158233510446
JUN,1.2962373,0.9332668,0.36297053,1.0487777716171665,9.22438,1.0412103e-17,6.377731825346939e-15,0.7735379,0.7735379,162,99,1.0487777716171665
HERC5,0.098218694,0.03606018,0.062158514,1.04862083028566,10.360972,5.779310999999999e-20,6.195008584071427e-17,0.8025938,0.8025938,162,99,1.04862083028566
CARINH,0.1559212,0.11705862,0.038862586,1.04726272200684,8.895243,1.1335178e-16,5.116000488601504e-14,0.787567,0.787567,162,99,1.04726272200684
APOBEC3G,0.10513129,0.06774686,0.037384428,1.0437897047472542,8.960541,6.841382e-17,3.2083943648125e-14,0.77478486,0.77478486,162,99,1.0437897047472542
PSME1,1.2135152,1.0173042,0.19621098,1.0428499261354802,8.219927,2.0561135e-14,5.714091721203704e-12,0.78326476,0.78326476,162,99,1.0428499261354802
TENT5C,0.077222764,0.042463813,0.03475895,1.0421047628158897,9.640855,8.561568e-19,7.007956692162162e-16,0.7939269,0.7939269,162,99,1.0421047628158897
BHLHE40,0.056986403,0.02673243,0.030253973,1.041594632110803,9.848372,3.2749075999999996e-19,2.890972844305882e-16,0.7942387,0.7942387,162,99,1.041594632110803
IFI35,0.121449456,0.07131451,0.050134942,1.0389136053832724,9.65607,8.384633e-19,7.007956692162162e-16,0.78077066,0.78077066,162,99,1.0389136053832724
PTGER2,0.19688872,0.11048385,0.08640487,1.0378173982610572,9.229636,1.0300680000000001e-17,6.374528031340207e-15,0.78295296,0.78295296,162,99,1.0378173982610572
