covariate_model,feature,fold_coefficient
leave_out_demographic,mean_genes_per_cell,1.2622002091077447
leave_out_demographic,mean_pct_mito,-0.4610431571263101
leave_out_demographic,n_samples,0.15290665732873307
leave_out_demographic,n_libraries,0.135156750416651
leave_out_demographic,n_suspensions,1.4766217279977474
leave_out_demographic,processing_cohort,-0.2672574509689507
leave_out_demographic,cells_per_donor,-1.0056533798480067
leave_out_demographic,mean_umi_per_cell,-1.4898779436480056
leave_out_demographic,mean_genes_per_cell,1.0722897548785135
leave_out_demographic,mean_pct_mito,-0.5057153872589631
leave_out_demographic,n_samples,0.1746989974317847
leave_out_demographic,n_libraries,0.16813254255217858
leave_out_demographic,n_suspensions,1.5275720791421186
leave_out_demographic,processing_cohort,-0.4055946525190053
leave_out_demographic,cells_per_donor,-0.823600845134422
leave_out_demographic,mean_umi_per_cell,-1.4662883342677226
leave_out_demographic,mean_genes_per_cell,1.1658168079600948
leave_out_demographic,mean_pct_mito,-0.3396787482525548
leave_out_demographic,n_samples,0.21692644125537416
leave_out_demographic,n_libraries,-0.07667057949338109
leave_out_demographic,n_suspensions,1.427236763542158
leave_out_demographic,processing_cohort,-0.30697594399519357
leave_out_demographic,cells_per_donor,-1.0474008085429372
leave_out_demographic,mean_umi_per_cell,-1.7178826694153875
leave_out_demographic,mean_genes_per_cell,1.4391581928186408
leave_out_demographic,mean_pct_mito,-0.3899739769414926
leave_out_demographic,n_samples,0.1102663135673586
leave_out_demographic,n_libraries,0.020133981012678374
leave_out_demographic,n_suspensions,1.484610981442751
leave_out_demographic,processing_cohort,-0.3123431825848911
leave_out_demographic,cells_per_donor,-0.9391560561513534
leave_out_demographic,mean_umi_per_cell,-1.7479009736590445
leave_out_demographic,mean_genes_per_cell,1.5218657211518094
leave_out_demographic,mean_pct_mito,-0.379981695624719
leave_out_demographic,n_samples,0.1325218939757177
leave_out_demographic,n_libraries,0.15171667621375515
leave_out_demographic,n_suspensions,1.3776068079317665
leave_out_demographic,processing_cohort,-0.2640398783359586
leave_out_processing,cells_per_donor,-0.7235654854684466
leave_out_processing,mean_umi_per_cell,-2.1483392163306574
leave_out_processing,mean_genes_per_cell,1.916438747264818
leave_out_processing,mean_pct_mito,-0.3105880992248861
leave_out_processing,age_from_development_stage,0.46469752275988735
leave_out_processing,sex_female,-0.6680574520294091
leave_out_processing,sex_male,0.667229263997093
leave_out_processing,cells_per_donor,-0.5180606318352315
leave_out_processing,mean_umi_per_cell,-2.0500874987108983
leave_out_processing,mean_genes_per_cell,1.9285426797356233
leave_out_processing,mean_pct_mito,-0.41121804010340024
leave_out_processing,age_from_development_stage,0.3203300825764072
leave_out_processing,sex_female,-0.42209140376648263
leave_out_processing,sex_male,0.42322164782710703
leave_out_processing,cells_per_donor,-0.5299982919611623
leave_out_processing,mean_umi_per_cell,-2.003833924437656
leave_out_processing,mean_genes_per_cell,1.9828814597419149
leave_out_processing,mean_pct_mito,-0.2768414804414071
leave_out_processing,age_from_development_stage,0.5118155589469429
leave_out_processing,sex_female,-0.41102297461624426
leave_out_processing,sex_male,0.4106616937484419
leave_out_processing,cells_per_donor,-0.6269363390374836
leave_out_processing,mean_umi_per_cell,-2.176278782550546
leave_out_processing,mean_genes_per_cell,2.167301810176239
leave_out_processing,mean_pct_mito,-0.28254835582488713
leave_out_processing,age_from_development_stage,0.4334979672942489
leave_out_processing,sex_female,-0.6563803359610253
leave_out_processing,sex_male,0.657605136056552
leave_out_processing,cells_per_donor,-0.499755486121646
leave_out_processing,mean_umi_per_cell,-2.1434879883906994
leave_out_processing,mean_genes_per_cell,2.1359529186029693
leave_out_processing,mean_pct_mito,-0.28065660191081704
leave_out_processing,age_from_development_stage,0.378597321326884
leave_out_processing,sex_female,-0.3708470071098051
leave_out_processing,sex_male,0.37133724557868475
single_cells_per_donor,cells_per_donor,-0.8652219609192657
single_cells_per_donor,cells_per_donor,-0.6655437288302143
single_cells_per_donor,cells_per_donor,-0.6741116423875904
single_cells_per_donor,cells_per_donor,-0.75243093177588
single_cells_per_donor,cells_per_donor,-0.6956276443340361
single_mean_umi_per_cell,mean_umi_per_cell,-0.28739116159088357
single_mean_umi_per_cell,mean_umi_per_cell,-0.27484646556258185
single_mean_umi_per_cell,mean_umi_per_cell,-0.15886444961214582
single_mean_umi_per_cell,mean_umi_per_cell,-0.14594079207284952
single_mean_umi_per_cell,mean_umi_per_cell,-0.12030203994517545
single_mean_genes_per_cell,mean_genes_per_cell,-0.06449412733895687
single_mean_genes_per_cell,mean_genes_per_cell,-0.043232064293964305
single_mean_genes_per_cell,mean_genes_per_cell,0.031349856968477884
single_mean_genes_per_cell,mean_genes_per_cell,0.0608711311680789
single_mean_genes_per_cell,mean_genes_per_cell,0.09671198924560365
single_mean_pct_mito,mean_pct_mito,-0.4186174467105516
single_mean_pct_mito,mean_pct_mito,-0.607726053948013
single_mean_pct_mito,mean_pct_mito,-0.3747679056408039
single_mean_pct_mito,mean_pct_mito,-0.35849909497078275
single_mean_pct_mito,mean_pct_mito,-0.4200389168898347
single_age_from_development_stage,age_from_development_stage,0.5416767472142076
single_age_from_development_stage,age_from_development_stage,0.33435690080938224
single_age_from_development_stage,age_from_development_stage,0.5405828265401926
single_age_from_development_stage,age_from_development_stage,0.47275269016934596
single_age_from_development_stage,age_from_development_stage,0.36591486163080655
single_n_samples,n_samples,0.7906877985215474
single_n_samples,n_samples,0.9038758901839927
single_n_samples,n_samples,0.9021931752126437
single_n_samples,n_samples,0.813254756153858
