Unnamed: 0,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
cSLE15,1404,981,929,77,1053,189,250,410,83,103,68,40,54,13,118,0,28,4,8,12,0
cSLE16,551,920,168,252,979,288,66,448,127,199,39,662,125,70,76,0,11,1,8,4,1
cSLE17,213,1329,45,825,534,142,261,756,221,213,39,611,251,108,28,0,44,19,8,7,2
cSLE18,33,27,356,846,0,0,1,458,160,312,4,185,297,16,1,0,5,2,15,6,110
cSLE19,508,323,1077,780,15,340,39,182,170,1379,76,638,119,286,48,2,78,2,31,15,74
cSLE20,1314,447,597,220,346,566,306,87,126,168,206,7,129,23,223,2,30,3,48,6,10
cSLE21,122,57,564,459,12,62,28,171,65,219,11,277,199,33,9,59,19,6,0,0,7
cSLE22,342,387,146,692,628,233,26,224,113,69,214,45,85,16,104,38,42,3,44,14,1
cSLE23,156,133,611,531,39,28,7,165,133,220,14,360,235,160,27,87,29,30,20,0,52
cSLE24,504,392,969,567,153,263,6,952,334,157,119,395,87,116,73,0,118,5,6,1,29
cSLE25,385,387,496,1349,163,351,197,285,72,224,90,106,321,48,33,0,12,1,74,6,15
cSLE26,690,848,332,863,25,104,37,552,193,476,33,466,277,271,48,5,54,3,16,13,13
cSLE27,87,130,757,1258,4,15,2,484,261,485,30,1488,203,87,11,21,10,0,17,14,86
cSLE28,22,50,592,1690,27,76,125,117,162,170,109,99,38,218,1,118,56,2,50,11,1
cSLE29,596,1112,1357,246,326,277,182,97,197,157,347,30,45,21,81,0,42,7,34,13,9
cSLE30,2069,1094,129,121,357,490,427,434,540,188,296,4,158,249,300,1,102,6,51,8,12
cSLE31,551,600,197,403,190,225,64,164,253,313,49,571,73,22,148,7,23,2,7,10,0
cSLE32,275,352,1683,556,56,536,203,782,329,347,314,19,39,264,39,35,104,6,17,29,3
cSLE33,730,1370,1280,288,482,509,289,627,192,233,279,50,364,111,159,1,62,1,45,31,10
aHD1,1450,258,1034,123,214,709,377,224,286,571,503,29,114,203,260,4,145,10,35,25,12
aHD2,447,345,259,73,581,714,758,186,939,89,422,2,216,304,116,0,178,10,82,32,1
aHD3,532,334,798,413,142,937,1628,217,467,167,465,6,187,189,110,0,87,13,81,34,0
aHD4,605,353,892,49,569,1226,395,354,392,202,356,14,226,87,217,0,84,10,43,18,11
aHD5,742,727,281,238,344,1072,1574,246,764,259,289,8,244,200,223,7,102,10,53,112,6
aHD6,4281,836,741,153,511,948,210,258,516,559,351,55,156,55,983,9,134,16,77,33,25
aSLE1,57,224,1630,538,14,93,29,42,288,183,26,246,22,230,19,12,157,16,8,14,7
aSLE2,15,45,903,1417,4,242,52,13,28,316,35,104,40,535,3,30,28,14,1,6,15
aSLE3,829,712,126,546,670,1283,732,75,21,295,417,32,195,404,286,6,88,5,56,23,24
aSLE4,461,509,686,242,426,770,1086,70,555,116,190,7,19,147,189,3,59,38,59,40,20
aSLE5,433,756,1198,411,57,314,269,109,144,184,65,138,23,77,77,0,36,7,7,8,3
aSLE6,279,261,43,647,151,900,372,11,0,229,157,66,10,99,102,0,3,3,12,12,3
aSLE7,9,37,544,170,31,614,698,78,280,68,103,1,50,126,10,41,50,9,33,11,1
aSLE8,265,342,255,135,278,1611,850,178,569,299,260,3,33,349,144,2,101,47,33,20,3
