cohort	stratum	draw	repeat	seed	method	n_donors	n_cases	roc_auc
GSE135779	matched_random_for_mixed_batches_B2_B6	7	7	20260807	pca_pseudobulk	36	25	0.9272727272727272
GSE135779	matched_random_for_mixed_batches_B2_B6	8	8	20260808	geneformer	36	25	0.8727272727272727
GSE135779	matched_random_for_mixed_batches_B2_B6	8	8	20260808	hvg_pseudobulk	36	25	0.9090909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	8	8	20260808	pca_pseudobulk	36	25	0.9090909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	9	9	20260809	geneformer	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	9	9	20260809	hvg_pseudobulk	36	25	0.9490909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	9	9	20260809	pca_pseudobulk	36	25	0.9490909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	10	10	20260810	geneformer	36	25	0.8909090909090909
GSE135779	matched_random_for_mixed_batches_B2_B6	10	10	20260810	hvg_pseudobulk	36	25	0.9563636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	10	10	20260810	pca_pseudobulk	36	25	0.9563636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	11	11	20260811	geneformer	36	25	0.9018181818181819
GSE135779	matched_random_for_mixed_batches_B2_B6	11	11	20260811	hvg_pseudobulk	36	25	0.9527272727272728
GSE135779	matched_random_for_mixed_batches_B2_B6	11	11	20260811	pca_pseudobulk	36	25	0.9527272727272728
GSE135779	matched_random_for_mixed_batches_B2_B6	12	12	20260812	geneformer	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	12	12	20260812	hvg_pseudobulk	36	25	0.9563636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	12	12	20260812	pca_pseudobulk	36	25	0.9563636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	13	13	20260813	geneformer	36	25	0.8472727272727273
GSE135779	matched_random_for_mixed_batches_B2_B6	13	13	20260813	hvg_pseudobulk	36	25	0.9345454545454546
GSE135779	matched_random_for_mixed_batches_B2_B6	13	13	20260813	pca_pseudobulk	36	25	0.9345454545454546
GSE135779	matched_random_for_mixed_batches_B2_B6	14	14	20260814	geneformer	36	25	0.8072727272727273
GSE135779	matched_random_for_mixed_batches_B2_B6	14	14	20260814	hvg_pseudobulk	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	14	14	20260814	pca_pseudobulk	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	15	15	20260815	geneformer	36	25	0.8654545454545455
GSE135779	matched_random_for_mixed_batches_B2_B6	15	15	20260815	hvg_pseudobulk	36	25	0.9236363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	15	15	20260815	pca_pseudobulk	36	25	0.9236363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	16	16	20260816	geneformer	36	25	0.8654545454545455
GSE135779	matched_random_for_mixed_batches_B2_B6	16	16	20260816	hvg_pseudobulk	36	25	0.9163636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	16	16	20260816	pca_pseudobulk	36	25	0.9163636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	17	17	20260817	geneformer	36	25	0.9163636363636364
GSE135779	matched_random_for_mixed_batches_B2_B6	17	17	20260817	hvg_pseudobulk	36	25	0.9054545454545454
GSE135779	matched_random_for_mixed_batches_B2_B6	17	17	20260817	pca_pseudobulk	36	25	0.9054545454545454
GSE135779	matched_random_for_mixed_batches_B2_B6	18	18	20260818	geneformer	36	25	0.7418181818181818
GSE135779	matched_random_for_mixed_batches_B2_B6	18	18	20260818	hvg_pseudobulk	36	25	0.9236363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	18	18	20260818	pca_pseudobulk	36	25	0.9236363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	19	19	20260819	geneformer	36	25	0.8218181818181818
GSE135779	matched_random_for_mixed_batches_B2_B6	19	19	20260819	hvg_pseudobulk	36	25	0.8436363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	19	19	20260819	pca_pseudobulk	36	25	0.8436363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	20	20	20260820	geneformer	36	25	0.8763636363636363
GSE135779	matched_random_for_mixed_batches_B2_B6	20	20	20260820	hvg_pseudobulk	36	25	0.9127272727272727
GSE135779	matched_random_for_mixed_batches_B2_B6	20	20	20260820	pca_pseudobulk	36	25	0.9127272727272727
