repeat	support_block	method	adjustment	n_overlap	overlap_lower	overlap_upper	roc_auc_overlap
4	qc_core	PCA pseudobulk	unadjusted	162	0.23629767698367768	0.6761975636739673	0.9718869365928189
4	acquisition_structure	Frozen Geneformer	acquisition_structure	202	0.2805386755176936	0.5149729154984415	0.9732987012987013
4	acquisition_structure	Frozen Geneformer	unadjusted	202	0.2805386755176936	0.5149729154984415	0.9776623376623377
4	acquisition_structure	Mean-HVG pseudobulk	acquisition_structure	202	0.2805386755176936	0.5149729154984415	0.9867012987012986
4	acquisition_structure	Mean-HVG pseudobulk	unadjusted	202	0.2805386755176936	0.5149729154984415	0.9883636363636363
4	acquisition_structure	PCA pseudobulk	acquisition_structure	202	0.2805386755176936	0.5149729154984415	0.971116883116883
4	acquisition_structure	PCA pseudobulk	unadjusted	202	0.2805386755176936	0.5149729154984415	0.9764155844155844
4	processing_cohort	Frozen Geneformer	processing_cohort	86	0.3151242621388177	0.6713966151278444	0.8799351000540833
4	processing_cohort	Frozen Geneformer	unadjusted	86	0.3151242621388177	0.6713966151278444	0.9085992428339643
4	processing_cohort	Mean-HVG pseudobulk	processing_cohort	86	0.3151242621388177	0.6713966151278444	0.8350459707950243
4	processing_cohort	Mean-HVG pseudobulk	unadjusted	86	0.3151242621388177	0.6713966151278444	0.9540292049756625
4	processing_cohort	PCA pseudobulk	processing_cohort	86	0.3151242621388177	0.6713966151278444	0.8983234180638182
4	processing_cohort	PCA pseudobulk	unadjusted	86	0.3151242621388177	0.6713966151278444	0.924283396430503
4	demographic	Frozen Geneformer	demographic	232	0.34308951038106233	0.7379704184814818	0.9630681818181818
4	demographic	Frozen Geneformer	unadjusted	232	0.34308951038106233	0.7379704184814818	0.9733270202020202
4	demographic	Mean-HVG pseudobulk	demographic	232	0.34308951038106233	0.7379704184814818	0.9803503787878788
4	demographic	Mean-HVG pseudobulk	unadjusted	232	0.34308951038106233	0.7379704184814818	0.9884785353535354
4	demographic	PCA pseudobulk	demographic	232	0.34308951038106233	0.7379704184814818	0.9708017676767677
4	demographic	PCA pseudobulk	unadjusted	232	0.34308951038106233	0.7379704184814818	0.978219696969697
4	combined	Frozen Geneformer	combined	55	0.25175604349434816	0.6123554936017167	0.8673740053050398
4	combined	Frozen Geneformer	unadjusted	55	0.25175604349434816	0.6123554936017167	0.9005305039787799
4	combined	Mean-HVG pseudobulk	combined	55	0.25175604349434816	0.6123554936017167	0.9098143236074271
4	combined	Mean-HVG pseudobulk	unadjusted	55	0.25175604349434816	0.6123554936017167	0.960212201591512
4	combined	PCA pseudobulk	combined	55	0.25175604349434816	0.6123554936017167	0.9124668435013263
4	combined	PCA pseudobulk	unadjusted	55	0.25175604349434816	0.6123554936017167	0.9137931034482758
5	cell_yield	Frozen Geneformer	cell_yield	180	0.27643041349960756	0.6556771806808702	0.9532428355957768
5	cell_yield	Frozen Geneformer	unadjusted	180	0.27643041349960756	0.6556771806808702	0.9718451483157364
5	cell_yield	Mean-HVG pseudobulk	cell_yield	180	0.27643041349960756	0.6556771806808702	0.9786324786324786
