repeat	split_seed	method	adjustment	n_donors	roc_auc	pr_auc	brier
2	20260802	PCA pseudobulk	processing_cohort	261	0.7405536849981295	0.8523842800906238	0.20555952809956735
2	20260802	Covariates only: demographic	demographic	261	0.6630814315999501	0.7181538326356414	0.23646905305531637
2	20260802	Frozen Geneformer	demographic	261	0.9663299663299664	0.9808186539198442	0.0802988114440123
2	20260802	Mean-HVG pseudobulk	demographic	261	0.9810450180820551	0.9892329560195916	0.07295243547064675
2	20260802	PCA pseudobulk	demographic	261	0.9766803840877916	0.987266817398653	0.059767393872359444
2	20260802	Covariates only: combined	combined	261	0.9549195660306771	0.9746462461580676	0.08629426190080941
2	20260802	Frozen Geneformer	combined	261	0.6815064222471631	0.7996142290625049	0.22717312530442968
2	20260802	Mean-HVG pseudobulk	combined	261	0.6273849607182941	0.7432358640938811	0.31581705308728575
2	20260802	PCA pseudobulk	combined	261	0.6882404289811697	0.8141977265281265	0.22117427201771445
3	20260803	Frozen Geneformer	unadjusted	261	0.9748098266616785	0.9842331101126454	0.0677363451177385
3	20260803	Mean-HVG pseudobulk	unadjusted	261	0.9887766554433222	0.9932476036767759	0.043643421750068315
3	20260803	PCA pseudobulk	unadjusted	261	0.9792368125701458	0.9881593216688288	0.05635611359418229
3	20260803	Covariates only: cell_yield	cell_yield	261	0.6873363262252151	0.7789753497986942	0.2236453962521549
3	20260803	Frozen Geneformer	cell_yield	261	0.9235565531861828	0.951704675318436	0.11459786540346831
3	20260803	Mean-HVG pseudobulk	cell_yield	261	0.9673275969572266	0.9798466494171523	0.07932418219995722
3	20260803	PCA pseudobulk	cell_yield	261	0.9492455418381344	0.9708592069687136	0.09577507339984802
3	20260803	Covariates only: qc_core	qc_core	261	0.7634368375109116	0.8542056724176497	0.19781485651633576
3	20260803	Frozen Geneformer	qc_core	261	0.8908217982292056	0.9169604871497761	0.13581433563058865
3	20260803	Mean-HVG pseudobulk	qc_core	261	0.9400174585359771	0.9602269930044023	0.09958105248596244
3	20260803	PCA pseudobulk	qc_core	261	0.9079685746352413	0.9404894354854745	0.12278142347591225
3	20260803	Covariates only: acquisition_structure	acquisition_structure	261	0.639387704202519	0.7445219773516841	0.21927500539453548
3	20260803	Frozen Geneformer	acquisition_structure	261	0.9333458037161741	0.9599379190314719	0.10929746975416285
3	20260803	Mean-HVG pseudobulk	acquisition_structure	261	0.9638982416760193	0.9793155500740212	0.07498045757887827
3	20260803	PCA pseudobulk	acquisition_structure	261	0.945379723157501	0.968668940431392	0.10083802192348346
3	20260803	Covariates only: processing_cohort	processing_cohort	261	0.9265806210250654	0.9489254096952885	0.10580038890961513
3	20260803	Frozen Geneformer	processing_cohort	261	0.7485970819304152	0.845974239423125	0.2030915221251693
3	20260803	Mean-HVG pseudobulk	processing_cohort	261	0.6983414390821798	0.7980648356522627	0.2931702804738463
3	20260803	PCA pseudobulk	processing_cohort	261	0.736937273974311	0.8510809464502797	0.2075340081089638
3	20260803	Covariates only: demographic	demographic	261	0.652731013842125	0.7234505884012101	0.23672792422959837
3	20260803	Frozen Geneformer	demographic	261	0.9599077191669784	0.9770584712280097	0.08511614844596756
3	20260803	Mean-HVG pseudobulk	demographic	261	0.9759321611173464	0.9862948028057552	0.07627138610025008
3	20260803	PCA pseudobulk	demographic	261	0.9739992517770295	0.9857008774330835	0.06295539869369833
3	20260803	Covariates only: combined	combined	261	0.9553560294301036	0.9747716891272719	0.08728138564591258
3	20260803	Frozen Geneformer	combined	261	0.6845616660431475	0.7991237131336983	0.22575164388488525
3	20260803	Mean-HVG pseudobulk	combined	261	0.6137298915076693	0.7337032079708541	0.3309978242944826
3	20260803	PCA pseudobulk	combined	261	0.6875545579249283	0.8167851264754519	0.2217937879431175
4	20260804	Frozen Geneformer	unadjusted	261	0.9749968824042898	0.9845222880505778	0.06714432463295074
4	20260804	Mean-HVG pseudobulk	unadjusted	261	0.9884648958723032	0.993016446127384	0.04471353515287522
4	20260804	PCA pseudobulk	unadjusted	261	0.977615662800848	0.987371416402019	0.06270202173902507
4	20260804	Covariates only: cell_yield	cell_yield	261	0.6904539219354033	0.7793591842404546	0.2220645184180021
4	20260804	Frozen Geneformer	cell_yield	261	0.9171343060231949	0.9472411034957416	0.11702398519459827
4	20260804	Mean-HVG pseudobulk	cell_yield	261	0.9684499314128944	0.9807719038995345	0.07495489616157786
4	20260804	PCA pseudobulk	cell_yield	261	0.9466267614415762	0.9667270434254549	0.08751097217744394
4	20260804	Covariates only: qc_core	qc_core	261	0.7614415762563911	0.8537899264034848	0.19755299278094215
4	20260804	Frozen Geneformer	qc_core	261	0.8858959970071082	0.9210378938212238	0.13825403955156032
4	20260804	Mean-HVG pseudobulk	qc_core	261	0.9430103504177578	0.9624816115224712	0.09392282359627165
4	20260804	PCA pseudobulk	qc_core	261	0.9039157002119964	0.9385474443421519	0.1259255957396574
4	20260804	Covariates only: acquisition_structure	acquisition_structure	261	0.6305960842997881	0.7399473081154178	0.22056641568728222
4	20260804	Frozen Geneformer	acquisition_structure	261	0.9325975807457288	0.9601791010072129	0.10821637370996266
4	20260804	Mean-HVG pseudobulk	acquisition_structure	261	0.9645841127322609	0.9795878450687019	0.07242862291782065
4	20260804	PCA pseudobulk	acquisition_structure	261	0.9425738870183314	0.9673185220518591	0.09973849463156392
4	20260804	Covariates only: processing_cohort	processing_cohort	261	0.9182878164359646	0.9392831257848127	0.1102096737189438
4	20260804	Frozen Geneformer	processing_cohort	261	0.7432971692230952	0.845280481613796	0.20323119048030874
4	20260804	Mean-HVG pseudobulk	processing_cohort	261	0.7242798353909465	0.8075390049208584	0.27590121493422326
4	20260804	PCA pseudobulk	processing_cohort	261	0.7372490335453299	0.8566891200993485	0.2065166312080322
4	20260804	Covariates only: demographic	demographic	261	0.6589038533482977	0.7203885507791357	0.23666454915371757
4	20260804	Frozen Geneformer	demographic	261	0.9665170220725775	0.9814293210758468	0.08093151016602165
4	20260804	Mean-HVG pseudobulk	demographic	261	0.9813567776530739	0.9899623254681483	0.0653207451626817
4	20260804	PCA pseudobulk	demographic	261	0.9713181194662677	0.9842420893979111	0.068125439398026
4	20260804	Covariates only: combined	combined	261	0.9431974061603692	0.9680051397243352	0.0937639874682388
4	20260804	Frozen Geneformer	combined	261	0.6748971193415638	0.8061744206955481	0.22678990083118464
4	20260804	Mean-HVG pseudobulk	combined	261	0.6402918069584737	0.7465781767717332	0.3201633221013102
4	20260804	PCA pseudobulk	combined	261	0.6886145404663924	0.8178287866481495	0.22211189403822776
5	20260805	Frozen Geneformer	unadjusted	261	0.9739368998628257	0.9837173435751483	0.06849799488490398
5	20260805	Mean-HVG pseudobulk	unadjusted	261	0.9874049133308391	0.9924391513995824	0.04293671280885346
5	20260805	PCA pseudobulk	unadjusted	261	0.9817932410525003	0.9897443487797424	0.057056027389250266
5	20260805	Covariates only: cell_yield	cell_yield	261	0.6917321361765807	0.78848587565024	0.22153162507434807
5	20260805	Frozen Geneformer	cell_yield	261	0.9229953859583488	0.9510514368124078	0.11378930079355536
5	20260805	Mean-HVG pseudobulk	cell_yield	261	0.9700710811821923	0.9818695815204039	0.07173592306758345
5	20260805	PCA pseudobulk	cell_yield	261	0.9574759945130316	0.9757771293549867	0.08113825299335786
5	20260805	Covariates only: qc_core	qc_core	261	0.7585733882030178	0.852721490061314	0.19877861031349756
5	20260805	Frozen Geneformer	qc_core	261	0.887828906347425	0.9177819642543016	0.13618994917783714
5	20260805	Mean-HVG pseudobulk	qc_core	261	0.9367128070831774	0.9585268207317995	0.10031149676314755
5	20260805	PCA pseudobulk	qc_core	261	0.9024192542711061	0.9356669263906201	0.12455556960778245
5	20260805	Covariates only: acquisition_structure	acquisition_structure	261	0.6139481232073826	0.7323883433107292	0.22077621339790576
5	20260805	Frozen Geneformer	acquisition_structure	261	0.9312881905474498	0.9592151933015156	0.11015111845718732
5	20260805	Mean-HVG pseudobulk	acquisition_structure	261	0.9654570395311136	0.9804829483645804	0.0732256176825384
5	20260805	PCA pseudobulk	acquisition_structure	261	0.9499937648085797	0.9710954700904328	0.09455809101271201
5	20260805	Covariates only: processing_cohort	processing_cohort	261	0.9202207257762813	0.9410852900698882	0.10659326141295873
5	20260805	Frozen Geneformer	processing_cohort	261	0.7342561416635491	0.8362157237283292	0.2071408248728295
5	20260805	Mean-HVG pseudobulk	processing_cohort	261	0.6972814565407158	0.7914963182166879	0.29526101393224
5	20260805	PCA pseudobulk	processing_cohort	261	0.7282080059857837	0.845264286676922	0.2095990871365807
5	20260805	Covariates only: demographic	demographic	261	0.6676019453797232	0.7374984862446399	0.23395352621809626
5	20260805	Frozen Geneformer	demographic	261	0.9636488340192044	0.9790898535543487	0.08224230454158749
5	20260805	Mean-HVG pseudobulk	demographic	261	0.978426237685497	0.9880458041194523	0.0728537982443855
5	20260805	PCA pseudobulk	demographic	261	0.9740616036912333	0.9859545928400393	0.06294581069663935
5	20260805	Covariates only: combined	combined	261	0.9555430851727148	0.9745182569190451	0.08475925980842054
5	20260805	Frozen Geneformer	combined	261	0.6508292804589102	0.7921319234127909	0.23149879635360252
5	20260805	Mean-HVG pseudobulk	combined	261	0.6215862326973437	0.7422388891875562	0.3288356681006134
5	20260805	PCA pseudobulk	combined	261	0.649270482603816	0.7880435018272952	0.22954069728745388
6	20260806	Frozen Geneformer	unadjusted	261	0.9729392692355655	0.9829508849686176	0.07016955568996111
6	20260806	Mean-HVG pseudobulk	unadjusted	261	0.9897119341563786	0.993747928992967	0.04140467291324828
6	20260806	PCA pseudobulk	unadjusted	261	0.9753086419753086	0.9862833786789618	0.060279960113092515
6	20260806	Covariates only: cell_yield	cell_yield	261	0.6856528245417135	0.7713050610934985	0.22482501909708205
6	20260806	Frozen Geneformer	cell_yield	261	0.919503678762938	0.9480904225028082	0.11587312228660623
6	20260806	Mean-HVG pseudobulk	cell_yield	261	0.9716298790372865	0.9821965012114167	0.07389003614539982
6	20260806	PCA pseudobulk	cell_yield	261	0.9532360643471754	0.973651245878064	0.08461767293502713
6	20260806	Covariates only: qc_core	qc_core	261	0.7567028307769048	0.8429752982688111	0.20069604788964157
6	20260806	Frozen Geneformer	qc_core	261	0.8883900735752588	0.9159251230018564	0.1369687334051168
6	20260806	Mean-HVG pseudobulk	qc_core	261	0.9459408903853348	0.9632861639774517	0.09211752858964761
