dim,mean,var,zero_frac
227,-0.016580509,0.0003866716,0.0
228,0.025260488,0.00050251005,0.0
229,0.1378999,0.0020599605,0.0
230,-0.09680686,0.00036869655,0.0
231,-0.10606715,0.00060442946,0.0
232,-0.119049534,0.0008375949,0.0
233,0.01095062,0.0006954484,7.107270026510117e-06
234,-0.03751464,0.00076676084,0.0
235,-0.055681076,0.0005428329,0.0
236,-0.2872826,0.0005525133,0.0
237,-0.03720813,0.0007446382,0.0
238,-0.05891502,0.00056329614,0.0
239,-0.0238598,0.0008908473,0.0
240,0.1020175,0.0010870897,0.0
241,0.04775524,0.00019204801,0.0
242,0.07991858,0.0005321705,0.0
243,0.01598981,0.0003699332,0.0
244,-0.06313593,0.00045492375,0.0
245,-0.048927393,0.00039760701,0.0
246,-0.12342382,0.00060355954,0.0
247,0.013348008,0.0026224563,0.0
248,0.035209272,0.0006255306,0.0
249,0.000934093,0.00048751896,3.5536350132550586e-06
250,0.021001266,0.00064154674,3.5536350132550586e-06
251,-1.0370884,0.00077453454,0.0
252,-0.12886289,0.00077679387,0.0
253,-0.014148515,0.0003586293,3.5536350132550586e-06
254,0.03151595,0.0003514634,0.0
255,0.0352112,0.00020508852,0.0
256,0.049578153,0.00034230578,0.0
257,-0.0017943021,0.0005140004,0.0
258,4.136367,8.4271756e-05,0.0
259,0.092162125,0.0013351355,0.0
260,0.10670949,0.000713579,0.0
261,-0.012675321,0.00087976427,0.0
262,-0.16438746,0.0009667748,0.0
263,0.06785051,0.00043589566,0.0
264,-0.1888028,0.0006834402,0.0
265,0.03203621,0.00027769533,0.0
266,0.05772235,0.00047506578,0.0
267,0.034624856,0.00040399315,0.0
268,-0.040025182,0.0007781513,0.0
269,-0.102350794,0.00058944855,0.0
270,-0.07484196,0.0016538261,0.0
271,0.18702288,0.0004288063,0.0
272,-0.0007852298,0.001948054,0.0
273,-0.2314918,0.00067883875,0.0
274,-0.33228666,0.0013729671,0.0
275,-0.020479163,0.00035865,0.0
276,0.089764945,0.0012799688,0.0
277,-0.014318631,0.00033692448,3.5536350132550586e-06
278,-0.17797294,0.00034106732,0.0
279,-0.019271603,0.0012561708,0.0
280,0.02562863,0.0009292138,0.0
281,-0.12726533,0.0009814382,0.0
282,0.14520827,0.00049768196,0.0
283,-0.07059748,0.00035197803,0.0
284,-0.10960334,0.0013189025,0.0
285,-0.05908213,0.00066882995,0.0
286,0.13186523,0.0014478939,0.0
287,-0.123900205,0.0010222885,0.0
